t,x,y,z
0.0,-0.048311,-0.094353,-0.206089
0.3,-0.120007,-0.080114,-0.212384
0.6,-0.010491,0.159537,0.104451
0.9,0.073887,0.016757,-0.033692
1.2,-0.023067,-0.110364,0.217567
1.5,-0.015579,-0.052706,0.108116
1.8,-0.06325,-0.054063,0.067909
2.1,-0.014416,-0.017074,0.399543
2.4,-0.005486,0.029445,0.31489
2.7,0.0494,-0.030172,0.248717
3.0,-0.142016,0.033216,0.488009
3.3,-0.018327,0.134326,0.329933
3.6,-0.059499,0.084782,0.405062
3.9,-0.091672,-0.054572,0.551407
4.2,0.080389,0.035921,0.443446
4.5,-0.066967,0.028589,0.522359
4.8,-0.035805,0.015214,0.634564
5.1,-0.149333,-0.038398,0.86279
5.4,-0.088503,-0.095387,0.486487
5.7,0.13221,-0.034149,0.645578
6.0,0.021513,0.154632,0.779906
6.3,-0.034905,-0.016351,0.800877
6.6,0.025383,-0.035535,0.892232
6.9,-0.053931,-0.159625,0.727398
7.2,-0.046263,-0.002797,0.947242
7.5,0.03494,0.012311,1.033449
7.8,0.090093,-0.137228,1.035668
8.1,0.093018,0.076451,1.107463
8.4,0.216729,-0.229984,0.870245
8.7,0.096362,-0.104505,0.854298
9.0,0.139899,0.120732,0.872983
9.3,0.175162,-0.042464,0.918325
9.6,0.140669,-0.199996,0.934713
9.9,0.139332,-0.117792,0.94869
10.2,0.218074,-0.188914,0.925805
10.5,0.331118,-0.030322,0.985514
10.8,0.219757,-0.001771,0.788899
11.1,0.194478,-0.041571,0.842873
11.4,0.311538,0.119801,0.835264
11.7,0.370744,-0.125459,0.808491
12.0,0.358191,-0.035664,0.930817
12.3,0.411417,-0.007816,1.031174
12.6,0.577143,0.015594,0.994457
12.9,0.630859,0.017334,0.848502
13.2,0.451278,0.006344,0.851627
13.5,0.53839,-0.346114,0.905789
13.8,0.45217,0.013425,0.975279
14.1,0.747223,-0.169198,0.928388
14.4,0.562854,0.080824,0.853014
14.7,0.516799,-0.002198,0.89937
15.0,0.555751,0.024843,1.005157
15.3,0.565746,-0.104923,0.890411
15.6,0.786996,-0.164216,1.053743
15.9,0.766733,-0.015768,0.984042
16.2,0.64398,-0.065396,1.036848
16.5,0.740823,-0.005064,0.981918
16.8,0.772686,-0.029631,0.958463
17.1,0.847011,0.146815,1.058125
17.4,0.899088,-0.024465,0.741249
17.7,0.725144,-0.157905,0.761345
18.0,0.827241,0.047613,0.787518
18.3,0.867379,0.035394,0.818596
18.6,0.871547,-0.25038,0.923499
18.9,0.991896,-0.28727,1.039522
19.2,1.001309,0.078401,0.719572
19.5,0.961893,0.118911,0.860426
19.8,0.93837,-0.039318,0.758208
20.1,0.840435,0.234104,0.776973
20.4,0.868227,0.123063,0.965139
20.7,0.923702,-0.132455,0.939853
21.0,1.093493,0.191131,0.958073
21.3,0.957825,0.069855,1.101503
21.6,1.073151,0.025142,0.965133
21.9,0.873049,0.178029,0.945374
22.2,0.99643,0.129191,0.676988
22.5,0.918874,0.398791,1.069931
22.8,0.866869,0.49047,0.947578
23.1,1.004373,0.366232,0.94967
23.4,1.008398,0.337906,0.91677
23.7,0.921717,0.116364,1.101609
24.0,0.960275,0.382819,0.733756
24.3,0.971656,0.408766,0.847145
24.6,0.88055,0.256867,0.916547
24.9,1.009643,0.3337,0.929088
25.2,0.955824,0.543836,0.873175
25.5,1.042807,0.317995,0.927594
25.8,0.903461,0.440818,0.769457
26.1,1.076992,0.619633,0.855962
26.4,1.042282,0.483899,0.846994
26.7,1.017107,0.548565,0.934143
27.0,0.934593,0.885874,0.988007
27.3,0.893077,0.804606,0.847984
27.6,0.86812,0.708584,0.762579
27.9,1.044815,0.787325,0.801126
28.2,1.020723,0.642174,0.922237
28.5,0.909812,0.966337,1.075533
28.8,0.929828,0.892606,0.789713
29.1,0.981214,0.841106,0.742763
29.4,0.990026,0.872682,1.243048
29.7,1.057868,0.706399,1.008115
30.0,0.909843,1.066628,0.899595
30.3,0.946981,0.906096,0.895797
30.6,0.820725,0.930318,1.04166
30.9,0.988391,0.945121,0.85114
31.2,1.023714,0.850477,0.912306
31.5,0.970646,1.117773,0.91004
31.8,0.823156,0.946929,0.83858
32.1,0.749688,0.949176,0.979619
32.4,1.044383,0.839638,0.808623
32.7,0.789292,0.875559,1.066498
33.0,0.712602,0.735479,0.735055
33.3,0.756505,0.907574,1.001097
33.6,0.867494,0.858495,0.754992
33.9,0.704729,0.96035,1.003492
34.2,0.766573,0.98027,0.765655
34.5,0.607355,0.908354,1.140009
34.8,0.719856,0.998709,0.904285
35.1,0.5723,0.772485,0.815499
35.4,0.649614,0.769473,0.816713
35.7,0.517042,0.961736,0.939735
36.0,0.6405,1.045443,0.820471
36.3,0.497065,1.019107,0.899499
36.6,0.614805,0.92955,1.030597
36.9,0.504966,0.951491,0.814691
