t,x,y,z
0.0,-0.182474,1.575239,-1.027644
0.3,-0.232879,1.138601,-0.921613
0.6,-0.282586,0.697896,-0.804238
0.9,-0.333502,0.288246,-0.691331
1.2,-0.387816,-0.055421,-0.587069
1.5,-0.440122,-0.309484,-0.484156
1.8,-0.492398,-0.466294,-0.387519
2.1,-0.548361,-0.528993,-0.295799
2.4,-0.607627,-0.514698,-0.210896
2.7,-0.668365,-0.44659,-0.131015
3.0,-0.717127,-0.350679,-0.057098
3.3,-0.74087,-0.247003,0.011173
3.6,-0.728606,-0.153596,0.075514
3.9,-0.678546,-0.086882,0.136785
4.2,-0.592557,-0.054598,0.197399
4.5,-0.481798,-0.065262,0.255423
4.8,-0.367307,-0.116388,0.309945
5.1,-0.267844,-0.205249,0.366824
5.4,-0.197113,-0.319205,0.425905
5.7,-0.16879,-0.431275,0.486117
6.0,-0.18025,-0.512518,0.544923
6.3,-0.221232,-0.539716,0.606555
6.6,-0.274561,-0.495642,0.661774
6.9,-0.328974,-0.387535,0.712319
7.2,-0.369067,-0.232087,0.749452
7.5,-0.379824,-0.061448,0.767157
7.8,-0.373582,0.092123,0.778983
8.1,-0.355686,0.20051,0.785445
8.4,-0.332491,0.254931,0.783902
8.7,-0.302814,0.254542,0.779953
9.0,-0.265004,0.202868,0.782919
9.3,-0.219748,0.115018,0.785834
9.6,-0.163172,0.006071,0.784394
9.9,-0.088823,-0.109462,0.783922
10.2,0.000852,-0.214137,0.771625
10.5,0.108943,-0.292497,0.763919
10.8,0.232392,-0.338828,0.752504
11.1,0.359779,-0.351126,0.733747
11.4,0.479162,-0.335745,0.721188
11.7,0.580002,-0.311422,0.703441
12.0,0.661548,-0.289625,0.69008
12.3,0.718989,-0.281458,0.674244
12.6,0.76106,-0.284734,0.667713
12.9,0.792827,-0.285484,0.661118
13.2,0.815238,-0.266566,0.642119
13.5,0.834941,-0.217413,0.632981
13.8,0.8529,-0.1412,0.630651
14.1,0.858481,-0.04551,0.62668
14.4,0.849468,0.062524,0.613519
14.7,0.829141,0.169394,0.610013
15.0,0.796632,0.260612,0.604609
15.3,0.758592,0.332268,0.606694
15.6,0.713344,0.385894,0.607051
15.9,0.674824,0.430668,0.612938
16.2,0.645737,0.469576,0.617376
16.5,0.623666,0.500023,0.619632
16.8,0.606459,0.512456,0.621841
17.1,0.596238,0.511207,0.634116
17.4,0.59338,0.50719,0.643593
17.7,0.596998,0.505395,0.656059
18.0,0.611299,0.502214,0.674002
18.3,0.626838,0.498105,0.677145
18.6,0.643562,0.499751,0.682423
18.9,0.652784,0.515465,0.682151
19.2,0.669252,0.553002,0.675824
19.5,0.686109,0.588194,0.663681
19.8,0.709399,0.61949,0.649246
20.1,0.734815,0.648572,0.640748
20.4,0.762858,0.671198,0.619034
20.7,0.799775,0.693539,0.593734
21.0,0.835894,0.716725,0.566723
21.3,0.867256,0.743466,0.550691
21.6,0.88323,0.768249,0.537067
21.9,0.88055,0.775061,0.526105
22.2,0.857601,0.757393,0.519017
22.5,0.821912,0.708428,0.500975
22.8,0.785268,0.638134,0.492883
23.1,0.758461,0.551804,0.483147
23.4,0.744406,0.461159,0.457984
23.7,0.745065,0.393502,0.467954
24.0,0.757718,0.356415,0.482354
24.3,0.781776,0.363616,0.489147
24.6,0.816008,0.427419,0.500699
24.9,0.85827,0.552167,0.522359
25.2,0.896772,0.728855,0.530237
25.5,0.920845,0.949146,0.536989
25.8,0.927405,1.184798,0.547251
26.1,0.911923,1.400479,0.560816
26.4,0.879618,1.563243,0.566626
26.7,0.835274,1.646814,0.567747
27.0,0.787399,1.647424,0.578855
27.3,0.741215,1.577301,0.581281
27.6,0.703807,1.460061,0.575132
27.9,0.675819,1.316172,0.581276
28.2,0.664416,1.156518,0.59639
28.5,0.669692,0.990615,0.605597
28.8,0.688514,0.837301,0.629218
29.1,0.713697,0.70433,0.648749
29.4,0.745091,0.61913,0.668519
29.7,0.778216,0.586092,0.688141
30.0,0.803148,0.604827,0.709736
30.3,0.8112,0.674522,0.731826
30.6,0.795906,0.783935,0.752652
30.9,0.749324,0.927124,0.773072
31.2,0.688723,1.080802,0.79417
31.5,0.639477,1.222317,0.809246
31.8,0.608104,1.332455,0.813743
32.1,0.592486,1.401293,0.813992
32.4,0.58725,1.420999,0.806991
32.7,0.58561,1.390195,0.800558
33.0,0.580943,1.327758,0.792671
33.3,0.569536,1.25545,0.774611
33.6,0.547848,1.191919,0.754701
33.9,0.514591,1.153416,0.738037
34.2,0.475436,1.138828,0.716049
34.5,0.428718,1.13734,0.694508
34.8,0.374389,1.132096,0.669636
35.1,0.317343,1.114012,0.640874
35.4,0.254623,1.083536,0.631904
35.7,0.197073,1.051958,0.618289
36.0,0.152426,1.032947,0.612964
36.3,0.121894,1.032749,0.611949
36.6,0.109628,1.045999,0.607854
36.9,0.112418,1.061851,0.609541
37.2,0.121,1.065104,0.625511
37.5,0.136479,1.044696,0.634408
37.8,0.146976,0.996343,0.648358
38.1,0.149188,0.929246,0.657464
38.4,0.14395,0.859361,0.673381
38.7,0.134742,0.795081,0.680923
39.0,0.119599,0.75196,0.703519
39.3,0.106689,0.736084,0.728135
39.6,0.091491,0.756349,0.748193
39.9,0.070215,0.813328,0.763091
40.2,0.034621,0.895624,0.765018
40.5,-0.023057,0.982488,0.765984
40.8,-0.093657,1.058105,0.775231
41.1,-0.158272,1.115891,0.792911
41.4,-0.199002,1.147151,0.800745
41.7,-0.216022,1.158233,0.799197
42.0,-0.206651,1.152379,0.790276
42.3,-0.181314,1.128797,0.781821
42.6,-0.150904,1.064436,0.759589
42.9,-0.136558,0.944643,0.73905
43.2,-0.139088,0.79228,0.710713
43.5,-0.16384,0.619729,0.674938
43.8,-0.19791,0.452493,0.625583
44.1,-0.233574,0.313966,0.580904
44.4,-0.259868,0.233557,0.54786
44.7,-0.264518,0.228085,0.518974
45.0,-0.247246,0.307261,0.486563
45.3,-0.214675,0.454613,0.461093
45.6,-0.17297,0.642343,0.435902
45.9,-0.136375,0.836399,0.415989
46.2,-0.110225,1.003402,0.398274
46.5,-0.095471,1.122009,0.382938
46.8,-0.087303,1.185275,0.370227
47.1,-0.087431,1.191622,0.375312
47.4,-0.092135,1.159331,0.368562
47.7,-0.095198,1.104374,0.361206
48.0,-0.09457,1.038944,0.36513
48.3,-0.094415,0.98351,0.369307
48.6,-0.098532,0.941921,0.360803
48.9,-0.10285,0.905702,0.366299
49.2,-0.110747,0.874759,0.367515
49.5,-0.129449,0.844433,0.375469
49.8,-0.157187,0.812929,0.376267
50.1,-0.189219,0.774804,0.379916
50.4,-0.215715,0.725768,0.37546
50.7,-0.225156,0.653131,0.384525
51.0,-0.209065,0.554223,0.399629
51.3,-0.16662,0.436739,0.412884
51.6,-0.091359,0.311294,0.420796
51.9,0.010444,0.181282,0.436972
52.2,0.12804,0.048426,0.456318
52.5,0.24994,-0.077854,0.476155
52.8,0.370818,-0.196732,0.493155
53.1,0.480704,-0.301915,0.517059
53.4,0.569232,-0.370264,0.540919
53.7,0.623402,-0.379117,0.55873
54.0,0.63212,-0.313656,0.575374
54.3,0.594565,-0.174358,0.581307
54.6,0.508679,0.012904,0.56299
54.9,0.383792,0.214821,0.540604
55.2,0.240096,0.398107,0.518964
55.5,0.09338,0.541937,0.49538
55.8,-0.037862,0.634464,0.467202
56.1,-0.14176,0.670615,0.435601
56.4,-0.209594,0.6522,0.398449
56.7,-0.242265,0.597446,0.357756
57.0,-0.248265,0.525698,0.318489
57.3,-0.224798,0.456899,0.280045
57.6,-0.175325,0.402262,0.244687
57.9,-0.108887,0.358488,0.214769
58.2,-0.034102,0.312961,0.189696
58.5,0.044662,0.24873,0.168972
58.8,0.124522,0.159394,0.150551
59.1,0.203773,0.051884,0.133678
59.4,0.27475,-0.053666,0.120165
59.7,0.326336,-0.136065,0.106165
60.0,0.35172,-0.171316,0.095271
60.3,0.344118,-0.141027,0.084765
60.6,0.301316,-0.030272,0.073094
60.9,0.216512,0.176739,0.052805
61.2,0.08986,0.483772,0.031261
61.5,-0.072641,0.885891,0.001205
61.8,-0.271495,1.375979,-0.03512
