t,x,y,z
0.0,0.671377,-0.761202,-0.618781
0.3,0.669972,-0.692228,-0.554301
0.6,0.672866,-0.61636,-0.47353
0.9,0.67339,-0.53349,-0.39076
1.2,0.661851,-0.452918,-0.307337
1.5,0.630445,-0.379786,-0.223882
1.8,0.578358,-0.318576,-0.143699
2.1,0.510529,-0.275614,-0.061041
2.4,0.424956,-0.249058,0.021883
2.7,0.324092,-0.239862,0.108115
3.0,0.211088,-0.247575,0.199672
3.3,0.101105,-0.273857,0.293213
3.6,0.010004,-0.319989,0.385632
3.9,-0.050722,-0.384052,0.474538
4.2,-0.072415,-0.456555,0.560703
4.5,-0.055064,-0.52201,0.640723
4.8,-0.010521,-0.566863,0.717577
5.1,0.048852,-0.581341,0.789991
5.4,0.118761,-0.556172,0.860438
5.7,0.189838,-0.486341,0.928303
6.0,0.253866,-0.383573,0.9897
6.3,0.302705,-0.263456,1.0476
6.6,0.339313,-0.149518,1.103067
6.9,0.374276,-0.06211,1.155884
7.2,0.418364,-0.017952,1.208142
7.5,0.476224,-0.015184,1.254171
7.8,0.571302,-0.044219,1.286579
8.1,0.740395,-0.080467,1.304911
8.4,0.878505,-0.122927,1.27869
8.7,0.993437,-0.168603,1.263392
9.0,1.077819,-0.215416,1.268016
9.3,1.12689,-0.261773,1.265206
9.6,1.152502,-0.301927,1.254565
9.9,1.180597,-0.336304,1.250727
10.2,1.212534,-0.356783,1.239533
10.5,1.268353,-0.356241,1.233896
10.8,1.358985,-0.337035,1.2405
11.1,1.471234,-0.304153,1.233166
11.4,1.610542,-0.273511,1.248969
11.7,1.750212,-0.255879,1.265352
12.0,1.876344,-0.250947,1.275108
12.3,1.983737,-0.257858,1.292164
12.6,2.061171,-0.277479,1.293697
12.9,2.104312,-0.294802,1.255378
13.2,2.113405,-0.291776,1.176756
13.5,2.089551,-0.251582,1.126274
13.8,2.021938,-0.136745,1.120686
14.1,1.945998,-0.002592,1.100629
14.4,1.866044,0.151562,1.082625
14.7,1.793415,0.316578,1.064814
15.0,1.733587,0.464409,1.031551
15.3,1.681177,0.592555,1.00616
15.6,1.644063,0.692675,0.984687
15.9,1.6333,0.758446,0.961961
16.2,1.651686,0.808629,0.944009
16.5,1.711707,0.845112,0.929975
16.8,1.805591,0.884482,0.936735
17.1,1.925104,0.927362,0.953667
17.4,2.070346,0.977526,0.987284
17.7,2.232848,1.021698,1.024309
18.0,2.391526,1.044989,1.024565
18.3,2.540408,1.087215,1.068732
18.6,2.638441,1.120902,1.107804
18.9,2.616739,1.12104,1.174148
19.2,2.524811,1.125268,1.218949
19.5,2.372229,1.124459,1.261802
19.8,2.159761,1.109865,1.303403
20.1,1.90036,1.078454,1.34109
20.4,1.604988,1.029596,1.381373
20.7,1.313431,0.96049,1.412871
21.0,1.046011,0.871464,1.433384
21.3,0.806941,0.766881,1.458
21.6,0.60994,0.667806,1.476454
21.9,0.463443,0.604452,1.48842
22.2,0.366979,0.586724,1.502133
22.5,0.319091,0.614201,1.499914
22.8,0.29841,0.683862,1.498245
23.1,0.304147,0.784993,1.472694
23.4,0.315706,0.917346,1.465043
23.7,0.351354,1.059427,1.429754
24.0,0.409294,1.194093,1.37253
24.3,0.508349,1.287594,1.323467
24.6,0.630098,1.348313,1.263839
24.9,0.781099,1.340953,1.246742
25.2,0.954055,1.236785,1.250839
25.5,1.083756,1.099191,1.230488
25.8,1.15818,0.933035,1.205617
26.1,1.172483,0.74814,1.180704
26.4,1.12308,0.559798,1.148062
26.7,1.021484,0.381704,1.105642
27.0,0.888273,0.198239,1.07661
27.3,0.726272,0.029501,1.040286
27.6,0.542199,-0.131614,1.02423
27.9,0.357565,-0.283637,1.018552
28.2,0.192783,-0.41701,1.018465
28.5,0.06732,-0.528392,1.013588
28.8,0.000816,-0.620314,1.014724
29.1,0.003803,-0.692909,1.017002
29.4,0.074644,-0.746508,0.994779
29.7,0.200886,-0.786186,0.967516
30.0,0.353275,-0.822311,0.942404
30.3,0.504923,-0.850509,0.921865
30.6,0.636688,-0.865154,0.905556
30.9,0.730858,-0.871032,0.8912
31.2,0.781482,-0.866656,0.878821
31.5,0.790543,-0.849243,0.866114
31.8,0.775419,-0.812658,0.853691
32.1,0.752983,-0.754676,0.838697
32.4,0.739297,-0.681589,0.824926
32.7,0.744421,-0.596812,0.816176
33.0,0.77416,-0.512279,0.807536
33.3,0.828736,-0.438057,0.793459
33.6,0.894141,-0.388312,0.775178
33.9,0.957965,-0.371976,0.759361
34.2,1.008187,-0.394238,0.740815
34.5,1.032191,-0.442161,0.714471
34.8,1.023409,-0.50527,0.681773
35.1,0.981904,-0.576009,0.641504
35.4,0.916231,-0.65204,0.593125
35.7,0.843129,-0.733209,0.539515
36.0,0.776824,-0.813575,0.477013
36.3,0.721388,-0.883654,0.409955
36.6,0.677491,-0.935935,0.336058
36.9,0.646416,-0.967988,0.256633
37.2,0.622954,-0.975853,0.175626
37.5,0.604852,-0.951592,0.097417
37.8,0.591355,-0.89647,0.00984
