t,x,y,z
0.0,0.161838,-0.2149,1.102696
0.3,0.19778,-0.20765,0.997474
0.6,0.158058,-0.192171,0.940454
0.9,0.067613,-0.233739,0.866638
1.2,0.000315,-0.31303,0.840564
1.5,-0.047821,-0.435712,0.879251
1.8,-0.012108,-0.602565,0.889253
5.2,1.034642,-0.455004,0.535588
5.5,0.950996,-0.458092,0.45254
5.8,0.852011,-0.523954,0.396835
6.1,0.764384,-0.57758,0.309694
6.4,0.625187,-0.606323,0.244754
6.7,0.468195,-0.60587,0.243361
10.1,-0.729766,-1.030686,0.377353
10.4,-0.529631,-1.163576,0.534117
10.7,-0.288852,-1.218374,0.656588
11.0,-0.006426,-1.135602,0.727413
11.3,0.309285,-0.931616,0.845634
11.6,0.622763,-0.731597,0.874999
11.9,0.886205,-0.560894,0.8549
15.3,0.154496,-0.883094,1.44209
15.6,0.090633,-0.804044,1.331345
15.9,0.062571,-0.689187,1.21788
16.2,0.027691,-0.550649,1.100185
16.5,0.03262,-0.405172,1.071787
16.8,0.066245,-0.279069,1.035911
17.1,0.041694,-0.251638,0.97061
17.4,0.027743,-0.250027,0.906177
17.7,-0.021727,-0.279756,0.853456
18.0,-0.078751,-0.328418,0.8119
18.3,-0.057329,-0.334669,0.757291
18.6,0.013103,-0.325262,0.702898
18.9,0.08043,-0.448691,0.624948
19.2,0.143375,-0.646999,0.573067
19.5,0.144104,-0.834185,0.555706
19.8,0.063977,-0.981632,0.559338
20.1,0.017179,-1.032002,0.5711
20.4,-0.002221,-1.005488,0.592777
20.7,0.001007,-0.897997,0.645566
21.0,0.028085,-0.812635,0.695427
21.3,0.007058,-0.729272,0.749892
21.6,-0.004153,-0.654711,0.740597
21.9,-0.056842,-0.608641,0.667462
22.2,-0.13097,-0.631226,0.576203
22.5,-0.230034,-0.86933,0.536345
22.8,-0.335559,-1.185349,0.487422
