t,x,y,z
0.0,-0.036222,-0.329284,0.661894
0.3,0.063212,-0.329521,0.550108
0.6,0.166607,-0.333132,0.437106
0.9,0.259588,-0.339784,0.323257
1.2,0.323144,-0.343902,0.212038
1.5,0.353729,-0.336201,0.102076
1.8,0.35136,-0.315197,0.002777
2.1,0.3198,-0.29084,-0.087556
2.4,0.266407,-0.264839,-0.174329
2.7,0.207097,-0.250422,-0.251529
3.0,0.155699,-0.254135,-0.319762
3.3,0.125478,-0.281108,-0.381852
3.6,0.116898,-0.325662,-0.436276
3.9,0.124327,-0.375613,-0.482466
4.2,0.14081,-0.413986,-0.520805
4.5,0.163177,-0.421775,-0.55251
4.8,0.188726,-0.382912,-0.582053
5.1,0.21434,-0.297833,-0.60936
5.4,0.24515,-0.182657,-0.631097
5.7,0.276907,-0.059633,-0.647729
6.0,0.309211,0.043801,-0.657895
6.3,0.337348,0.119887,-0.664623
6.6,0.35153,0.170367,-0.664355
6.9,0.345597,0.202518,-0.659673
7.2,0.321739,0.233004,-0.648895
7.5,0.282527,0.275604,-0.633931
7.8,0.234246,0.32898,-0.619058
8.1,0.178827,0.389103,-0.605803
8.4,0.120292,0.438753,-0.590906
8.7,0.069139,0.455147,-0.572673
9.0,0.031884,0.419302,-0.553638
9.3,0.019196,0.31426,-0.534843
9.6,0.032947,0.132469,-0.516105
