t,x,y,z
0.0,0.261285,0.125835,0.263321
0.3,0.224406,-0.051713,0.256473
0.6,0.188099,-0.235955,0.257365
0.9,0.155624,-0.418503,0.256025
1.2,0.134592,-0.598594,0.256192
1.5,0.131063,-0.767717,0.260479
1.8,0.143827,-0.914795,0.267436
2.1,0.177297,-1.034688,0.276095
2.4,0.224359,-1.120108,0.284374
2.7,0.276298,-1.169255,0.28846
3.0,0.317595,-1.185073,0.286373
3.3,0.328158,-1.175985,0.284978
3.6,0.303705,-1.146683,0.288177
3.9,0.249807,-1.107068,0.285316
4.2,0.236489,-1.076052,0.292574
4.5,0.237324,-1.052474,0.248097
4.8,0.25353,-1.049679,0.200129
5.1,0.330824,-1.071179,0.172993
5.4,0.476252,-1.113568,0.153242
5.7,0.685784,-1.172595,0.141664
6.0,0.929296,-1.236229,0.120235
6.3,1.191039,-1.287091,0.093047
6.6,1.440268,-1.312693,0.060755
6.9,1.676825,-1.305887,0.045466
7.2,1.879701,-1.262692,0.03765
7.5,2.039889,-1.184806,0.041778
7.8,2.145321,-1.085539,0.072029
8.1,2.191039,-0.969629,0.085484
8.4,2.1919,-0.853855,0.103289
8.7,2.136361,-0.745424,0.059013
9.0,2.055329,-0.649008,0.00356
9.3,1.978854,-0.558769,0.001114
9.6,1.890198,-0.467492,0.003547
9.9,1.779342,-0.370278,-0.076534
10.2,1.567171,-0.25466,-0.046565
10.5,1.360526,-0.099674,-0.054022
10.8,1.195455,0.047545,-0.060681
11.1,1.074882,0.191704,-0.066276
11.4,0.995901,0.334746,-0.063509
11.7,0.945998,0.470171,-0.044629
12.0,0.913246,0.568587,-0.032018
12.3,0.900996,0.661568,0.001252
12.6,0.908835,0.712926,0.020206
12.9,0.92626,0.759189,0.058734
13.2,0.952601,0.779344,0.099785
13.5,0.9801,0.765499,0.149739
13.8,0.999032,0.72143,0.185624
14.1,1.007351,0.696718,0.253809
14.4,0.995361,0.683721,0.323898
14.7,0.960072,0.667939,0.324841
15.0,0.915446,0.667026,0.256375
15.3,0.864274,0.667435,0.211504
15.6,0.706784,0.596405,0.261369
15.9,0.540549,0.546965,0.28313
16.2,0.391238,0.498359,0.316531
16.5,0.248763,0.420365,0.326936
16.8,0.106696,0.311427,0.30819
17.1,-0.022203,0.17746,0.287733
17.4,-0.132956,0.030764,0.267979
17.7,-0.224756,-0.113366,0.260994
18.0,-0.296706,-0.227416,0.276074
18.3,-0.3333,-0.31473,0.304871
18.6,-0.324773,-0.375321,0.337284
18.9,-0.271005,-0.425025,0.368927
19.2,-0.184913,-0.474767,0.392575
19.5,-0.071888,-0.518077,0.36806
19.8,0.019743,-0.582417,0.336421
20.1,0.072051,-0.655344,0.302779
20.4,0.072324,-0.714435,0.261008
20.7,0.007686,-0.747494,0.21785
21.0,-0.13238,-0.743971,0.171347
21.3,-0.348685,-0.707474,0.119771
