t,x,y,z
0.0,-0.052958,1.718796,1.254657
0.3,-0.093263,1.321074,1.152764
0.6,-0.125095,0.914073,1.056624
0.9,-0.131901,0.527082,0.962015
1.2,-0.111027,0.177102,0.870149
1.5,-0.069019,-0.123095,0.783884
1.8,-0.010811,-0.371709,0.706646
2.1,0.052166,-0.57105,0.643369
2.4,0.100387,-0.736178,0.589898
2.7,0.11132,-0.866533,0.545763
3.0,0.066581,-0.956067,0.509836
3.3,-0.035011,-1.002098,0.482006
3.6,-0.181166,-1.006225,0.461602
3.9,-0.354257,-0.973642,0.449057
4.2,-0.524854,-0.912029,0.443582
4.5,-0.666328,-0.828333,0.450785
4.8,-0.759587,-0.735494,0.46736
5.1,-0.792554,-0.637808,0.490937
5.4,-0.768772,-0.531409,0.521789
5.7,-0.698337,-0.417921,0.56004
6.0,-0.602284,-0.307455,0.601012
6.3,-0.49935,-0.211173,0.641685
6.6,-0.408616,-0.141302,0.685099
6.9,-0.340983,-0.105867,0.728075
7.2,-0.305873,-0.112712,0.757427
7.5,-0.304563,-0.159097,0.743533
7.8,-0.332092,-0.231434,0.710724
8.1,-0.37521,-0.314133,0.672859
8.4,-0.421616,-0.393354,0.62753
8.7,-0.461473,-0.454837,0.582831
9.0,-0.49024,-0.503356,0.534134
9.3,-0.503272,-0.543241,0.485993
9.6,-0.503161,-0.576147,0.435138
9.9,-0.501949,-0.607914,0.384803
10.2,-0.507249,-0.647685,0.336305
10.5,-0.526472,-0.705378,0.291545
10.8,-0.558363,-0.78464,0.253854
11.1,-0.597397,-0.890442,0.220483
11.4,-0.631311,-1.012697,0.189011
11.7,-0.650454,-1.136654,0.167497
12.0,-0.647007,-1.239925,0.155416
12.3,-0.62632,-1.30062,0.150433
12.6,-0.587658,-1.309047,0.147316
12.9,-0.536314,-1.265677,0.149639
13.2,-0.477839,-1.172589,0.154653
13.5,-0.424007,-1.032376,0.16534
13.8,-0.378541,-0.853755,0.174916
14.1,-0.343022,-0.640064,0.183257
14.4,-0.315955,-0.392382,0.190927
