t,x,y,z
0.0,-1e-06,0.0,-0.045708
0.3,-1e-06,0.0,-0.019064
0.6,-1e-06,0.0,0.019356
0.9,-1e-06,0.0,0.056948
1.2,-1e-06,0.0,0.095783
1.5,-1e-06,0.0,0.135481
1.8,-1e-06,0.0,0.176849
2.1,-1e-06,0.0,0.218233
2.4,-1e-06,0.0,0.257154
2.7,-1e-06,0.0,0.297208
3.0,-1e-06,0.0,0.338762
3.3,-1e-06,0.0,0.378885
3.6,-1e-06,0.0,0.419198
3.9,-1e-06,0.0,0.458401
4.2,-1e-06,0.0,0.49589
4.5,-1e-06,0.0,0.53692
4.8,-1e-06,0.0,0.577398
5.1,-1e-06,0.0,0.621683
5.4,-1e-06,0.0,0.663076
5.7,-1e-06,0.0,0.704901
6.0,-1e-06,0.0,0.746694
6.3,-1e-06,0.0,0.786287
6.6,-1e-06,0.0,0.826198
6.9,-1e-06,0.0,0.865586
7.2,-1e-06,0.0,0.903446
7.5,-1e-06,0.0,0.943246
7.8,-1e-06,0.0,0.955782
8.1,-1e-06,0.0,0.955826
8.4,5e-06,-3.7e-05,0.930452
8.7,3.5e-05,-0.000108,0.86193
9.0,6.4e-05,-0.000154,0.774353
9.3,9e-05,-0.000186,0.677405
9.6,0.000114,-0.000211,0.57727
9.9,0.000131,-0.000226,0.472837
10.2,0.000424,-0.000325,0.472112
10.5,0.000445,-0.000329,0.549403
10.8,0.000445,-0.000329,0.612993
11.1,0.000445,-0.000329,0.593502
11.4,0.000445,-0.000329,0.565303
11.7,0.000445,-0.000329,0.53396
12.0,0.000445,-0.000329,0.499618
12.3,0.000445,-0.000329,0.46836
12.6,0.000445,-0.000329,0.435996
12.9,0.000445,-0.000329,0.406735
13.2,0.000445,-0.000329,0.37543
13.5,0.000445,-0.000329,0.342076
13.8,0.000445,-0.000329,0.309717
14.1,0.000445,-0.000329,0.277769
14.4,0.000445,-0.000329,0.243037
14.7,0.000445,-0.000329,0.208094
15.0,0.000445,-0.000329,0.178988
15.3,0.000445,-0.000329,0.140387
15.6,0.000445,-0.000329,0.102456
15.9,0.000445,-0.000329,0.071452
16.2,0.000445,-0.000329,0.039404
16.5,0.000445,-0.000329,0.007724
16.8,0.000445,-0.000329,-0.022743
