t,x,y,z
0.0,-0.0,0.0,-1e-06
0.3,-0.0,0.0,-1e-06
0.6,-0.0,0.0,-1e-06
0.9,-0.0,0.0,-1e-06
1.2,-0.0,0.0,-1e-06
1.5,-0.0,0.0,-1e-06
1.8,-0.0,0.0,-1e-06
2.1,-0.0,0.0,-1e-06
2.4,-0.0,0.0,-1e-06
2.7,-0.0,0.0,-1e-06
3.0,-0.0,0.0,-1e-06
3.3,-0.0,0.0,-1e-06
3.6,-0.0,0.0,-1e-06
3.9,-0.0,0.0,-1e-06
4.2,-0.0,0.0,-1e-06
4.5,-0.0,0.0,-1e-06
4.8,-0.0,0.0,-1e-06
5.1,-0.0,0.0,-1e-06
5.4,-0.0,0.0,-1e-06
5.7,-0.0,0.0,-1e-06
6.0,-0.0,0.0,-1e-06
6.3,-0.0,0.0,-1e-06
6.6,-0.0,0.0,-1e-06
6.9,-0.0,0.0,-1e-06
7.2,-0.0,0.0,-1e-06
7.5,-0.0,0.0,-1e-06
7.8,-0.0,0.0,-1e-06
8.1,-0.0,0.0,-1e-06
8.4,-0.0,0.0,-1e-06
8.7,-0.0,0.0,-1e-06
9.0,-0.0,0.0,-1e-06
9.3,-0.0,0.0,-1e-06
9.6,-0.0,0.0,-1e-06
9.9,-0.0,0.0,-1e-06
10.2,-0.0,0.0,-1e-06
10.5,-0.0,0.0,-1e-06
10.8,-0.0,0.0,-1e-06
11.1,-0.0,0.0,-1e-06
11.4,-0.0,0.0,-1e-06
11.7,-0.0,0.0,-1e-06
