t,x,y,z
0.0,-0.965515,-0.980592,-2.789427
0.3,1.360488,-0.938722,1.182345
0.6,-0.112982,-0.941065,0.752098
0.9,-0.753848,1.567516,0.979301
1.2,-0.04576,-1.562279,-0.88075
1.5,0.491087,-0.995627,1.210322
1.8,0.091546,-1.793356,0.43127
2.1,0.749575,-0.170171,-0.412059
2.4,-0.435743,1.14543,-1.854123
2.7,-0.699073,-0.129934,0.540269
3.0,0.864686,1.240986,1.952135
3.3,0.915141,2.21406,-0.929355
3.6,0.659439,-1.29085,0.566486
3.9,-0.437775,-1.579776,0.580575
4.2,0.453388,-0.148832,-0.656078
4.5,0.449467,1.144527,-0.489306
4.8,-0.10516,-1.323763,0.702376
11.2,-0.033837,1.184499,0.077179
11.5,-1.186099,-0.302105,-2.249818
11.8,-0.042911,0.69901,-1.499453
12.1,0.392207,-0.883279,-1.321639
12.4,-0.18302,0.078157,0.036527
12.7,0.104616,0.623929,0.584214
13.0,-1.502794,-0.19632,0.067608
13.3,0.153939,-0.519861,-1.550441
13.6,-1.247863,0.88042,0.082996
13.9,0.853619,-2.262095,-0.285493
14.2,0.587277,1.430834,-1.084269
14.5,0.054472,-0.766804,-1.531128
14.8,-0.009241,-2.116756,0.691871
