t,x,y,z
0.0,-0.092631,-0.0376,0.012426
0.1,-0.093553,-0.036091,0.014669
0.2,-0.09494,-0.033427,0.02193
0.3,-0.096622,-0.029665,0.031203
0.4,-0.098544,-0.02486,0.042256
0.5,-0.100818,-0.01928,0.054746
0.6,-0.103339,-0.01309,0.068348
0.7,-0.105998,-0.00628,0.082513
0.8,-0.108975,0.000821,0.097003
0.9,-0.111978,0.008125,0.111389
1.0,-0.115231,0.015787,0.125603
1.1,-0.118873,0.023886,0.139905
1.2,-0.122748,0.03215,0.154391
1.3,-0.126974,0.040629,0.16911
1.4,-0.131717,0.049181,0.184002
1.5,-0.13686,0.057828,0.198805
1.6,-0.142532,0.066452,0.213802
1.7,-0.148649,0.075057,0.228852
1.8,-0.155465,0.083634,0.243782
1.9,-0.162794,0.092138,0.258704
2.0,-0.170523,0.100619,0.273216
2.1,-0.178636,0.108932,0.287229
2.2,-0.187049,0.116738,0.301114
2.3,-0.195916,0.124098,0.314948
2.4,-0.205397,0.131006,0.328575
2.5,-0.215431,0.137586,0.342018
2.6,-0.226267,0.143617,0.356058
2.7,-0.237892,0.149173,0.370332
2.8,-0.250252,0.154202,0.384784
2.9,-0.263318,0.158981,0.399793
3.0,-0.277183,0.163596,0.414453
3.1,-0.291925,0.167876,0.429149
3.2,-0.307406,0.171828,0.443956
3.3,-0.323369,0.175356,0.458351
3.4,-0.339797,0.178553,0.473007
3.5,-0.356866,0.181538,0.487365
3.6,-0.374604,0.184325,0.501913
3.7,-0.393004,0.18674,0.516237
3.8,-0.411843,0.188648,0.530601
3.9,-0.431289,0.190154,0.544096
4.0,-0.451101,0.191374,0.557915
4.1,-0.471443,0.192363,0.572379
4.2,-0.491868,0.193217,0.58676
4.3,-0.512534,0.19399,0.601647
4.4,-0.533261,0.194472,0.616634
4.5,-0.55409,0.194598,0.631286
4.6,-0.574812,0.194587,0.645501
4.7,-0.595111,0.194455,0.659422
4.8,-0.614945,0.194177,0.673565
4.9,-0.634292,0.193846,0.687863
5.0,-0.652843,0.193387,0.702537
5.1,-0.670393,0.192874,0.71699
5.2,-0.68668,0.192495,0.731298
5.3,-0.70083,0.192212,0.745261
5.4,-0.712565,0.192201,0.759394
5.5,-0.721749,0.192397,0.773932
5.6,-0.72812,0.192844,0.788793
5.7,-0.731305,0.193686,0.803507
5.8,-0.730975,0.194898,0.81828
5.9,-0.726872,0.196122,0.832654
6.0,-0.718872,0.19758,0.846677
6.1,-0.70661,0.1993,0.860984
6.2,-0.689774,0.201234,0.875095
6.3,-0.668356,0.203162,0.889246
6.4,-0.642317,0.205083,0.903656
6.5,-0.611368,0.207222,0.918178
6.6,-0.575483,0.209556,0.933028
6.7,-0.534492,0.212244,0.94831
6.8,-0.488522,0.215234,0.965201
6.9,-0.437505,0.218244,0.983764
7.0,-0.379937,0.220865,0.994597
7.1,-0.31333,0.222753,1.003121
7.2,-0.240845,0.224861,1.009543
7.3,-0.16602,0.226633,1.011722
7.4,-0.088475,0.228004,1.011771
7.5,-0.008372,0.229182,1.012351
7.6,0.074539,0.230098,1.015622
7.7,0.157716,0.230339,1.017104
7.8,0.240132,0.22996,1.01913
7.9,0.321231,0.229428,1.021929
8.0,0.399146,0.228324,1.023823
8.1,0.474108,0.226724,1.027327
8.2,0.544837,0.224806,1.029957
8.3,0.610928,0.222251,1.032402
8.4,0.67173,0.219084,1.034479
8.5,0.72674,0.21528,1.037241
8.6,0.775259,0.21081,1.037421
8.7,0.817104,0.205735,1.036981
8.8,0.851814,0.199929,1.03451
8.9,0.879954,0.193758,1.033452
9.0,0.901532,0.187639,1.034389
9.1,0.915794,0.181516,1.035484
9.2,0.923157,0.175354,1.036768
9.3,0.923217,0.169084,1.03668
9.4,0.916795,0.162745,1.036899
9.5,0.904687,0.156457,1.03814
9.6,0.887305,0.150582,1.039394
9.7,0.865946,0.145364,1.038522
9.8,0.840946,0.141014,1.03643
9.9,0.81332,0.137619,1.036368
10.0,0.783282,0.135631,1.035723
10.1,0.750981,0.135074,1.035768
10.2,0.716946,0.135852,1.036766
10.3,0.680902,0.137961,1.038003
10.4,0.642893,0.141339,1.039327
10.5,0.602447,0.145969,1.039052
10.6,0.559196,0.151707,1.03632
10.7,0.513099,0.158705,1.033468
