t,x,y,z
0.0,-0.015836,0.013507,0.013824
0.1,-0.016508,0.013798,0.018446
0.2,-0.017385,0.014319,0.026319
0.3,-0.01846,0.015067,0.036244
0.4,-0.019723,0.016033,0.047292
0.5,-0.021169,0.017211,0.059419
0.6,-0.022789,0.018595,0.072343
0.7,-0.024575,0.020175,0.085862
0.8,-0.026517,0.021941,0.099983
0.9,-0.028606,0.023881,0.114568
1.0,-0.030828,0.02598,0.129139
1.1,-0.033173,0.02822,0.143693
1.2,-0.035625,0.030582,0.15834
1.3,-0.038171,0.033045,0.172999
1.4,-0.040797,0.03559,0.187483
1.5,-0.043491,0.038195,0.202032
1.6,-0.046238,0.040839,0.216883
1.7,-0.049027,0.0435,0.231744
1.8,-0.051844,0.046156,0.246733
1.9,-0.054678,0.048784,0.261529
2.0,-0.057517,0.051361,0.275604
2.1,-0.06035,0.053863,0.28978
2.2,-0.063169,0.056268,0.304385
2.3,-0.065966,0.058553,0.319164
2.4,-0.068736,0.060699,0.333805
2.5,-0.071476,0.062681,0.348391
2.6,-0.074185,0.064483,0.362655
2.7,-0.076868,0.066086,0.375992
2.8,-0.07954,0.067478,0.388674
2.9,-0.08221,0.068641,0.400378
4.1,-0.117586,0.063415,0.545035
4.2,-0.121014,0.061336,0.56923
4.3,-0.124498,0.058967,0.592983
4.4,-0.128013,0.056285,0.615021
4.5,-0.131528,0.053266,0.634691
4.6,-0.135013,0.049888,0.651448
4.7,-0.138429,0.046125,0.666583
4.8,-0.141738,0.041952,0.680454
4.9,-0.144898,0.037345,0.693914
5.0,-0.147873,0.032285,0.707383
5.1,-0.15064,0.026758,0.721147
5.2,-0.153159,0.020748,0.735169
5.3,-0.15537,0.014246,0.749384
5.4,-0.157196,0.007253,0.763437
5.5,-0.15858,-0.00023,0.777486
5.6,-0.159479,-0.008202,0.791609
5.7,-0.15986,-0.016651,0.804925
5.8,-0.159698,-0.025562,0.816875
5.9,-0.158973,-0.034916,0.827839
7.1,-0.119094,-0.162444,0.964744
7.2,-0.114728,-0.172199,0.976851
7.3,-0.110359,-0.181462,0.987195
7.4,-0.105997,-0.190183,0.989179
7.5,-0.101601,-0.198282,0.984561
7.6,-0.097102,-0.205678,0.975449
7.7,-0.092384,-0.212265,0.963415
7.8,-0.087314,-0.217931,0.950691
7.9,-0.081773,-0.222591,0.937429
8.0,-0.075678,-0.226187,0.923901
8.1,-0.068987,-0.228678,0.909563
8.2,-0.061715,-0.230014,0.89491
8.3,-0.053867,-0.23016,0.881213
8.4,-0.045411,-0.229099,0.869061
8.5,-0.036317,-0.226844,0.856581
8.6,-0.026545,-0.223383,0.843909
8.7,-0.016044,-0.218696,0.831507
8.8,-0.004791,-0.212787,0.820279
8.9,0.007217,-0.205681,0.810833
10.1,0.16576,-0.065278,0.6801
10.2,0.175432,-0.052925,0.657863
10.3,0.184023,-0.040981,0.635537
10.4,0.191533,-0.029482,0.615096
10.5,0.197978,-0.01846,0.597033
10.6,0.203386,-0.007932,0.581019
10.7,0.207804,0.002093,0.565618
10.8,0.211271,0.011607,0.550994
10.9,0.213841,0.020611,0.536663
11.0,0.215568,0.029109,0.522902
11.1,0.216514,0.037111,0.509436
11.2,0.216748,0.044639,0.495613
11.3,0.216336,0.051711,0.481696
11.4,0.215343,0.05835,0.467766
11.5,0.213835,0.064578,0.45421
11.6,0.211875,0.07042,0.440704
11.7,0.209518,0.075896,0.428112
11.8,0.206813,0.081022,0.417469
11.9,0.203811,0.08582,0.408067
13.1,0.151363,0.117124,0.278142
13.2,0.145755,0.117257,0.256358
13.3,0.139967,0.116988,0.234554
13.4,0.134013,0.116325,0.214059
13.5,0.127903,0.115275,0.195418
13.6,0.121647,0.113841,0.178861
13.7,0.115256,0.112025,0.164395
13.8,0.10874,0.109831,0.151056
13.9,0.102109,0.107264,0.138612
14.0,0.095372,0.104328,0.12642
14.1,0.088537,0.101031,0.113464
14.2,0.081612,0.097376,0.100013
14.3,0.074602,0.093359,0.087121
14.4,0.067511,0.088981,0.074591
14.5,0.060341,0.084246,0.062038
14.6,0.053094,0.079154,0.049091
14.7,0.045772,0.073701,0.035796
