t,x,y,z
0.0,-0.099628,-0.001085,0.160003
0.1,-0.101101,-0.000957,0.163778
0.2,-0.102253,-0.000529,0.172729
0.3,-0.103306,0.000877,0.184185
0.4,-0.104147,0.002644,0.195379
0.5,-0.104525,0.004827,0.206152
0.6,-0.104833,0.008136,0.216271
0.7,-0.105287,0.011029,0.225767
0.8,-0.106002,0.014451,0.234709
0.9,-0.107533,0.018757,0.242405
1.0,-0.109611,0.023,0.249022
1.1,-0.111731,0.028202,0.255824
1.2,-0.11333,0.033481,0.261976
1.3,-0.11458,0.039049,0.268905
1.4,-0.114927,0.04464,0.276873
1.5,-0.114794,0.051082,0.285009
1.6,-0.114928,0.058188,0.292306
1.7,-0.113975,0.065237,0.299705
1.8,-0.112561,0.07267,0.307995
1.9,-0.111025,0.081145,0.316527
2.0,-0.10908,0.090922,0.324997
2.1,-0.107423,0.101507,0.333523
2.2,-0.105243,0.112427,0.342255
2.3,-0.102878,0.123582,0.351057
2.4,-0.101395,0.135341,0.360104
2.5,-0.100477,0.147941,0.369579
2.6,-0.099694,0.16026,0.378706
2.7,-0.09881,0.172229,0.388255
2.8,-0.097748,0.183999,0.397962
2.9,-0.096206,0.195609,0.407318
3.0,-0.095231,0.206527,0.416371
3.1,-0.094455,0.216886,0.42565
3.2,-0.092258,0.227135,0.434753
3.3,-0.089127,0.236969,0.443506
3.4,-0.086243,0.246483,0.452131
3.5,-0.083325,0.255328,0.460571
3.6,-0.080472,0.263667,0.469421
3.7,-0.077835,0.271556,0.477591
3.8,-0.075153,0.27873,0.48526
3.9,-0.072888,0.285519,0.492253
4.0,-0.07073,0.292369,0.499776
4.1,-0.068136,0.298518,0.508189
4.2,-0.065007,0.304075,0.51608
4.3,-0.062055,0.308362,0.523442
4.4,-0.059262,0.311255,0.53072
4.5,-0.05763,0.31369,0.537739
4.6,-0.056111,0.314971,0.543655
4.7,-0.053909,0.315703,0.549388
4.8,-0.052416,0.315634,0.555437
4.9,-0.050941,0.314757,0.561371
5.0,-0.049135,0.313434,0.568342
5.1,-0.047424,0.310557,0.576446
5.2,-0.044854,0.306287,0.584712
5.3,-0.041947,0.301621,0.593127
5.4,-0.039093,0.296808,0.601928
5.5,-0.036109,0.29152,0.611764
5.6,-0.034223,0.285455,0.622192
5.7,-0.032901,0.278794,0.633109
5.8,-0.031141,0.272445,0.644306
5.9,-0.029401,0.265917,0.656461
6.0,-0.02814,0.259676,0.669332
6.1,-0.027155,0.253112,0.683743
6.2,-0.026087,0.24639,0.699734
6.3,-0.025581,0.240347,0.716099
6.4,-0.024949,0.23551,0.732482
6.5,-0.023997,0.231504,0.748731
6.6,-0.022557,0.227483,0.764178
6.7,-0.020779,0.224229,0.779843
6.8,-0.019741,0.221775,0.796658
6.9,-0.019003,0.21997,0.814324
7.0,-0.01862,0.219867,0.832688
7.1,-0.017082,0.221467,0.845399
7.2,-0.010403,0.223822,0.856335
7.3,-0.002383,0.226939,0.866204
7.4,0.005063,0.231533,0.874915
7.5,0.013156,0.23777,0.883299
7.6,0.021356,0.245185,0.891402
7.7,0.030274,0.25248,0.899482
7.8,0.038794,0.259723,0.907338
7.9,0.047427,0.267684,0.914902
8.0,0.056148,0.275846,0.921809
8.1,0.064173,0.283436,0.928984
8.2,0.072757,0.291701,0.937724
8.3,0.081023,0.300019,0.944267
8.4,0.087249,0.307377,0.946084
8.5,0.094856,0.314795,0.952748
8.6,0.102698,0.322764,0.958219
8.7,0.110208,0.32972,0.965103
8.8,0.117994,0.335727,0.974038
8.9,0.124674,0.3402,0.982095
9.0,0.131517,0.34416,0.992274
9.1,0.138178,0.347061,1.003091
9.2,0.143833,0.349763,1.01344
9.3,0.147575,0.351849,1.01959
9.4,0.151419,0.353555,1.028461
9.5,0.155903,0.354579,1.037177
9.6,0.159406,0.354381,1.043522
9.7,0.163419,0.353459,1.05155
9.8,0.167596,0.35206,1.058486
9.9,0.17228,0.349617,1.065546
10.0,0.176384,0.346109,1.067731
10.1,0.178888,0.341764,1.069537
10.2,0.181659,0.3378,1.071612
10.3,0.184155,0.33329,1.073997
10.4,0.187624,0.327943,1.077267
10.5,0.191926,0.322834,1.080626
10.6,0.196405,0.318062,1.083927
10.7,0.200749,0.312386,1.08355
10.8,0.206214,0.306277,1.082368
10.9,0.211533,0.29993,1.077712
11.0,0.216934,0.293143,1.073329
11.1,0.22309,0.2873,1.070007
11.2,0.229746,0.2811,1.067362
11.3,0.236299,0.27422,1.065478
11.4,0.242429,0.266617,1.062579
11.5,0.248864,0.258345,1.060146
11.6,0.256065,0.249655,1.056337
11.7,0.263497,0.241466,1.049908
11.8,0.272068,0.233634,1.046085
11.9,0.282319,0.225786,1.044209
12.0,0.292593,0.217762,1.042788
12.1,0.302648,0.209692,1.037939
12.2,0.312224,0.201843,1.032702
12.3,0.322798,0.194549,1.030178
12.4,0.334019,0.187334,1.027355
12.5,0.346289,0.180224,1.025832
12.6,0.359159,0.173839,1.024702
12.7,0.37196,0.168407,1.022395
12.8,0.385403,0.164049,1.020281
12.9,0.400584,0.161161,1.01998
13.0,0.413786,0.159553,1.013939
13.1,0.426367,0.159705,1.009213
13.2,0.439042,0.161163,1.002188
13.3,0.452379,0.164567,1.000664
13.4,0.466203,0.169727,1.001625
13.5,0.479512,0.17718,1.000216
13.6,0.494799,0.186332,1.003191
13.7,0.510637,0.197012,1.006652
13.8,0.525406,0.208559,1.009191
13.9,0.539297,0.221254,1.01145
14.0,0.554335,0.236078,1.015348
14.1,0.568853,0.251484,1.017752
14.2,0.58353,0.267815,1.021038
14.3,0.597021,0.284818,1.018395
14.4,0.609753,0.302402,1.018967
14.5,0.623025,0.320329,1.022431
14.6,0.635603,0.338214,1.027888
14.7,0.647059,0.355813,1.032433
14.8,0.657709,0.3731,1.036679
14.9,0.667796,0.389651,1.040054
15.0,0.677752,0.406395,1.044825
15.1,0.688028,0.423606,1.051037
15.2,0.697976,0.43939,1.056776
15.3,0.706596,0.454285,1.062577
