t,x,y,z
0.0,-0.027955,0.018514,0.003595
0.1,-0.027057,0.018409,0.007186
0.2,-0.025546,0.018266,0.015853
0.3,-0.023426,0.018334,0.027444
0.4,-0.019878,0.01842,0.040174
0.5,-0.015626,0.017573,0.053075
0.6,-0.010521,0.015889,0.065689
0.7,-0.004625,0.013945,0.078634
0.8,0.001417,0.012825,0.091926
0.9,0.006849,0.010994,0.104868
1.0,0.012828,0.008247,0.117821
1.1,0.018553,0.005106,0.131168
1.2,0.023569,0.00138,0.145385
1.3,0.027956,-0.002926,0.159158
1.4,0.031687,-0.007349,0.172884
1.5,0.035015,-0.012106,0.187107
1.6,0.037442,-0.017234,0.201134
1.7,0.039735,-0.022681,0.214647
1.8,0.041371,-0.028038,0.228905
1.9,0.042799,-0.034361,0.243583
2.0,0.04438,-0.040905,0.259284
2.1,0.045115,-0.047666,0.276257
2.2,0.04536,-0.054154,0.293891
2.3,0.045559,-0.060526,0.310727
2.4,0.045531,-0.06676,0.327446
2.5,0.045519,-0.073243,0.345395
2.6,0.045969,-0.079462,0.364653
2.7,0.04572,-0.084865,0.385426
2.8,0.04511,-0.09029,0.40629
2.9,0.043774,-0.095434,0.427308
3.0,0.042618,-0.100443,0.449078
3.1,0.042025,-0.105179,0.470335
3.2,0.041125,-0.109685,0.491494
3.3,0.041018,-0.114348,0.513477
3.4,0.041516,-0.118474,0.534484
3.5,0.042106,-0.122788,0.555425
3.6,0.043198,-0.127592,0.575215
3.7,0.044814,-0.132385,0.594837
3.8,0.046987,-0.137205,0.614085
3.9,0.049368,-0.141849,0.63295
4.0,0.052265,-0.146059,0.651567
4.1,0.055848,-0.149405,0.670118
4.2,0.060344,-0.150887,0.689038
4.3,0.064953,-0.151636,0.706592
4.4,0.070096,-0.151404,0.723759
4.5,0.075606,-0.150053,0.740425
4.6,0.080578,-0.147764,0.75691
4.7,0.085032,-0.143718,0.773759
4.8,0.088773,-0.139105,0.791819
4.9,0.091482,-0.134568,0.808806
5.0,0.093744,-0.12973,0.825147
5.1,0.096151,-0.125044,0.841783
5.2,0.098535,-0.120364,0.859198
5.3,0.10108,-0.115527,0.875704
5.4,0.103695,-0.110643,0.893577
