t,x,y,z
0.0,0.014405,0.021495,0.049707
0.1,0.015197,0.02277,0.057859
0.2,0.016709,0.024535,0.070972
0.3,0.019007,0.027065,0.085494
0.4,0.022158,0.0302,0.101509
0.5,0.025683,0.033844,0.118556
0.6,0.030047,0.037669,0.1357
0.7,0.035218,0.041823,0.152162
0.8,0.041157,0.046385,0.168375
0.9,0.047585,0.051245,0.186026
1.0,0.054439,0.056341,0.20366
1.1,0.061926,0.061827,0.220792
1.2,0.070076,0.067567,0.238154
1.3,0.078766,0.07362,0.256146
1.4,0.08788,0.079736,0.274208
1.5,0.097534,0.085824,0.292141
1.6,0.107462,0.091795,0.308968
1.7,0.117724,0.097546,0.324774
1.8,0.128435,0.102778,0.341087
1.9,0.139376,0.107704,0.357304
2.0,0.150797,0.112307,0.372916
2.1,0.162434,0.116344,0.388938
2.2,0.174088,0.119658,0.403771
2.3,0.185704,0.122477,0.418635
2.4,0.19726,0.124893,0.434017
2.5,0.20883,0.126571,0.449715
2.6,0.220256,0.12779,0.465852
2.7,0.231772,0.128313,0.481558
2.8,0.243222,0.128155,0.497294
2.9,0.254535,0.127369,0.512041
3.0,0.265402,0.125873,0.526392
3.1,0.275775,0.123548,0.540315
3.2,0.285477,0.12043,0.554159
3.3,0.294629,0.116707,0.566949
3.4,0.303301,0.112385,0.579534
3.5,0.311352,0.107466,0.592604
3.6,0.318872,0.101971,0.606032
3.7,0.325964,0.095953,0.618671
3.8,0.33256,0.089205,0.630814
3.9,0.338631,0.082077,0.642178
4.0,0.344213,0.074524,0.653322
4.1,0.349252,0.066452,0.664464
4.2,0.353412,0.05784,0.675078
4.3,0.357032,0.048834,0.686324
4.4,0.360138,0.039865,0.697921
4.5,0.362978,0.030972,0.708839
4.6,0.365559,0.021983,0.719143
4.7,0.367708,0.012825,0.729673
4.8,0.369418,0.003612,0.739956
4.9,0.370718,-0.005691,0.749105
5.0,0.371499,-0.014971,0.758177
5.1,0.371702,-0.024512,0.768036
5.2,0.37136,-0.033807,0.778049
5.3,0.37048,-0.042996,0.787598
5.4,0.369115,-0.052145,0.796522
5.5,0.367383,-0.061305,0.805323
5.6,0.365049,-0.070169,0.813995
5.7,0.36218,-0.078758,0.821395
5.8,0.35889,-0.086946,0.828522
5.9,0.355436,-0.094782,0.835384
6.0,0.351488,-0.102367,0.84306
6.1,0.347158,-0.109983,0.85035
6.2,0.342408,-0.117557,0.856933
6.3,0.337372,-0.125112,0.86385
6.4,0.332232,-0.132568,0.869951
6.5,0.327078,-0.139609,0.875149
6.6,0.321774,-0.146266,0.880642
6.7,0.316154,-0.152645,0.885844
6.8,0.310241,-0.15861,0.890473
6.9,0.304213,-0.164195,0.894695
7.0,0.298245,-0.169189,0.898996
7.1,0.292288,-0.173446,0.903246
7.2,0.286197,-0.177204,0.907016
7.3,0.280006,-0.180479,0.910357
7.4,0.273885,-0.183148,0.913485
7.5,0.267956,-0.185171,0.91636
7.6,0.262351,-0.186633,0.917604
7.7,0.257033,-0.187652,0.902145
7.8,0.252091,-0.188027,0.873522
7.9,0.247339,-0.187238,0.837831
8.0,0.242667,-0.185312,0.796775
8.1,0.238125,-0.182217,0.750778
8.2,0.233802,-0.177784,0.702184
8.3,0.229643,-0.172172,0.651226
8.4,0.225443,-0.165264,0.598594
8.5,0.221082,-0.157201,0.544539
8.6,0.21683,-0.147868,0.488567
8.7,0.212483,-0.137097,0.431509
8.8,0.208027,-0.124902,0.373362
8.9,0.203459,-0.111008,0.314019
9.0,0.198637,-0.095549,0.2538
9.1,0.193379,-0.078486,0.193641
9.2,0.187802,-0.059756,0.132858
9.3,0.181982,-0.039273,0.071499
9.4,0.17572,-0.017318,0.009749
9.5,0.16887,0.005957,-0.052662
9.6,0.161553,0.0306,-0.115325
9.7,0.153689,0.056494,-0.178271
9.8,0.1453,0.083484,-0.24188
9.9,0.136297,0.111825,-0.306227
10.0,0.126614,0.141424,-0.370828
10.1,0.116313,0.172165,-0.435773
