t,x,y,z
0.0,-0.049076,0.105355,0.006494
0.1,-0.050825,0.10747,0.009539
0.2,-0.053611,0.110085,0.012956
0.3,-0.057993,0.113106,0.016429
0.4,-0.063274,0.116683,0.02043
0.5,-0.069042,0.121256,0.024979
0.6,-0.076102,0.125588,0.029773
0.7,-0.08366,0.129662,0.035484
0.8,-0.091341,0.133887,0.042324
0.9,-0.099084,0.137778,0.049457
1.0,-0.106663,0.141901,0.057359
1.1,-0.114008,0.145967,0.066168
1.2,-0.121162,0.149698,0.075375
1.3,-0.129249,0.153307,0.08481
1.4,-0.137185,0.156114,0.095009
1.5,-0.144439,0.158612,0.10528
1.6,-0.151077,0.160744,0.115444
1.7,-0.157911,0.162222,0.12541
1.8,-0.163917,0.163362,0.136051
1.9,-0.169172,0.163896,0.146584
2.0,-0.173464,0.163812,0.157303
2.1,-0.176501,0.162961,0.168367
2.2,-0.179615,0.161617,0.179489
2.3,-0.182014,0.159442,0.191221
2.4,-0.183725,0.156826,0.203528
2.5,-0.18419,0.153663,0.217154
2.6,-0.183283,0.149599,0.230598
2.7,-0.181464,0.14501,0.245258
2.8,-0.178716,0.140098,0.260897
2.9,-0.174957,0.135159,0.276383
3.0,-0.169926,0.12955,0.292737
3.1,-0.163657,0.124033,0.309647
3.2,-0.156132,0.11852,0.326935
3.3,-0.14684,0.113329,0.344457
3.4,-0.135072,0.107676,0.363013
3.5,-0.121923,0.101207,0.382015
3.6,-0.107577,0.09381,0.40119
3.7,-0.092543,0.086566,0.420625
3.8,-0.07599,0.079871,0.440424
3.9,-0.057529,0.073438,0.460562
4.0,-0.037762,0.067118,0.481469
4.1,-0.015816,0.060631,0.503488
4.2,0.007934,0.054061,0.52565
4.3,0.033983,0.04739,0.548091
4.4,0.062417,0.040579,0.57105
4.5,0.092118,0.033468,0.594696
4.6,0.123382,0.026171,0.619837
4.7,0.156059,0.018717,0.646004
4.8,0.189898,0.01138,0.672515
4.9,0.225284,0.004664,0.6995
