t,x,y,z
0.0,-0.028777,0.050467,0.202738
0.1,-0.028823,0.050387,0.204686
0.2,-0.028786,0.049721,0.209518
0.3,-0.028166,0.048615,0.214667
0.4,-0.026898,0.047105,0.220853
0.5,-0.025237,0.045237,0.227612
0.6,-0.023768,0.042633,0.234355
0.7,-0.021853,0.039109,0.241209
0.8,-0.020273,0.035632,0.248181
0.9,-0.019095,0.03175,0.256287
1.0,-0.018169,0.027583,0.26497
1.1,-0.016691,0.022731,0.273529
1.2,-0.014528,0.018012,0.281894
1.3,-0.012657,0.013182,0.291002
1.4,-0.01192,0.008367,0.300582
1.5,-0.01087,0.004081,0.309282
1.6,-0.009098,-0.000183,0.317805
1.7,-0.006988,-0.005114,0.326085
1.8,-0.004583,-0.01018,0.334141
1.9,-0.002524,-0.015431,0.341889
2.0,0.000121,-0.020022,0.348988
2.1,0.003001,-0.024978,0.355941
2.2,0.006493,-0.029483,0.36203
2.3,0.010723,-0.033795,0.366939
2.4,0.015426,-0.037737,0.371131
2.5,0.020572,-0.041295,0.373959
2.6,0.025524,-0.045062,0.376132
2.7,0.030622,-0.049104,0.376565
2.8,0.035264,-0.052904,0.376796
2.9,0.04047,-0.056008,0.377084
3.0,0.04564,-0.058687,0.376829
3.1,0.050734,-0.060941,0.376481
3.2,0.055273,-0.062741,0.374472
3.3,0.059887,-0.063678,0.371744
3.4,0.064048,-0.063536,0.366869
3.5,0.067553,-0.06243,0.362158
3.6,0.071363,-0.060244,0.358369
3.7,0.075561,-0.056871,0.354567
3.8,0.080291,-0.052367,0.344768
3.9,0.094401,-0.047258,0.338042
4.0,0.12385,-0.040896,0.340233
4.1,0.170565,-0.032418,0.344087
4.2,0.215207,-0.022733,0.328984
4.3,0.254959,-0.012419,0.310241
4.4,0.293052,-0.002037,0.28619
4.5,0.329683,0.008464,0.260913
4.6,0.369548,0.018912,0.240311
4.7,0.409281,0.02969,0.218819
4.8,0.447214,0.040222,0.197254
4.9,0.48606,0.051378,0.179741
5.0,0.529436,0.064181,0.169333
5.1,0.572445,0.077971,0.158813
5.2,0.615433,0.092632,0.150277
5.3,0.659166,0.107614,0.144927
5.4,0.702211,0.122173,0.137577
5.5,0.740397,0.136293,0.122345
5.6,0.779,0.150966,0.10888
5.7,0.819662,0.166279,0.100637
5.8,0.86451,0.181929,0.096727
5.9,0.910134,0.196577,0.099135
6.0,0.954804,0.210321,0.100788
6.1,0.999689,0.222535,0.105265
6.2,1.046171,0.233743,0.114188
6.3,1.089924,0.244529,0.120275
6.4,1.134959,0.254523,0.129802
6.5,1.178779,0.263061,0.137121
6.6,1.219584,0.270558,0.139313
6.7,1.260808,0.277447,0.144309
6.8,1.306314,0.283384,0.152886
6.9,1.352404,0.288479,0.163558
7.0,1.39915,0.292218,0.175117
7.1,1.441523,0.294263,0.180169
