t,x,y,z
0.0,-0.021796,0.001492,-0.027995
0.1,-0.023074,0.000313,-0.025537
0.2,-0.025172,-0.001787,-0.018763
0.3,-0.028469,-0.004997,-0.010489
0.4,-0.032623,-0.009652,-0.00137
0.5,-0.036569,-0.015092,0.007912
0.6,-0.040168,-0.021053,0.016783
0.7,-0.044298,-0.026999,0.026537
0.8,-0.048541,-0.03279,0.037238
0.9,-0.0525,-0.039296,0.047826
1.0,-0.056493,-0.046401,0.058029
1.1,-0.061049,-0.05433,0.068976
1.2,-0.066099,-0.062647,0.080322
1.3,-0.072034,-0.071463,0.091998
1.4,-0.078364,-0.080549,0.104169
1.5,-0.084758,-0.089733,0.115903
1.6,-0.091516,-0.099313,0.127839
1.7,-0.098476,-0.108841,0.141274
1.8,-0.105231,-0.11819,0.155136
1.9,-0.110704,-0.126839,0.169879
2.0,-0.116815,-0.134777,0.185506
2.1,-0.123015,-0.142372,0.201745
2.2,-0.128643,-0.150636,0.218466
2.3,-0.134535,-0.158904,0.234844
2.4,-0.140311,-0.167375,0.251506
2.5,-0.145914,-0.174945,0.268342
2.6,-0.151545,-0.182333,0.28527
2.7,-0.157606,-0.188662,0.302355
2.8,-0.164074,-0.194212,0.319685
2.9,-0.170954,-0.198767,0.336771
3.0,-0.177864,-0.202503,0.354628
3.1,-0.184716,-0.205828,0.372988
3.2,-0.192642,-0.208576,0.390946
3.3,-0.200427,-0.210868,0.409614
3.4,-0.207767,-0.212383,0.428225
3.5,-0.215037,-0.213135,0.446562
3.6,-0.222175,-0.213791,0.465221
3.7,-0.229428,-0.213864,0.484489
3.8,-0.236459,-0.213096,0.503534
3.9,-0.242384,-0.211592,0.522153
4.0,-0.247817,-0.21032,0.540153
4.1,-0.251976,-0.209129,0.558709
4.2,-0.254937,-0.207023,0.577539
4.3,-0.256983,-0.203953,0.597285
4.4,-0.258085,-0.200841,0.617877
4.5,-0.258628,-0.19716,0.638957
4.6,-0.258633,-0.193161,0.661043
4.7,-0.257785,-0.189026,0.683723
4.8,-0.256092,-0.184516,0.705908
4.9,-0.253731,-0.179924,0.728251
5.0,-0.250657,-0.174471,0.751984
5.1,-0.247268,-0.168151,0.776168
5.2,-0.243667,-0.160644,0.800939
5.3,-0.239524,-0.15215,0.826043
5.4,-0.23491,-0.142261,0.851107
5.5,-0.229679,-0.130958,0.876506
5.6,-0.223632,-0.119021,0.903114
5.7,-0.217458,-0.106429,0.930087
5.8,-0.21149,-0.093008,0.956802
5.9,-0.204755,-0.078717,0.983275
6.0,-0.197855,-0.064098,1.008256
6.1,-0.190525,-0.049141,1.032803
6.2,-0.183801,-0.033931,1.057008
6.3,-0.178104,-0.018697,1.081392
6.4,-0.172406,-0.003469,1.10484
6.5,-0.167575,0.011354,1.128103
6.6,-0.163022,0.025802,1.15026
6.7,-0.159147,0.040532,1.171223
6.8,-0.155589,0.055867,1.191641
6.9,-0.152514,0.071331,1.212247
7.0,-0.150038,0.085896,1.232041
7.1,-0.148316,0.100017,1.246194
7.2,-0.146728,0.113039,1.254948
7.3,-0.145612,0.124969,1.260104
7.4,-0.145386,0.136274,1.257236
7.5,-0.145945,0.146813,1.249006
7.6,-0.147661,0.156606,1.239201
7.7,-0.150254,0.165149,1.229699
7.8,-0.153343,0.172678,1.219269
7.9,-0.156997,0.179016,1.207074
8.0,-0.160725,0.184307,1.194416
8.1,-0.164276,0.187655,1.178589
8.2,-0.168362,0.188991,1.160999
8.3,-0.172588,0.190003,1.142928
8.4,-0.17671,0.190353,1.124977
8.5,-0.18109,0.189844,1.105587
8.6,-0.186077,0.18881,1.085743
8.7,-0.190872,0.185907,1.066634
8.8,-0.195631,0.181268,1.045568
8.9,-0.200465,0.174861,1.022635
9.0,-0.205904,0.166714,0.999171
9.1,-0.21033,0.156506,0.975795
9.2,-0.214193,0.144671,0.952338
9.3,-0.216739,0.131147,0.927617
9.4,-0.218774,0.11676,0.902098
9.5,-0.22044,0.10081,0.876425
9.6,-0.221779,0.083677,0.850332
9.7,-0.222775,0.06537,0.823825
9.8,-0.224011,0.046254,0.797955
9.9,-0.225867,0.026444,0.770429
10.0,-0.226937,0.005666,0.743164
10.1,-0.228054,-0.015701,0.715964
10.2,-0.229141,-0.037637,0.688316
10.3,-0.230395,-0.060028,0.660838
10.4,-0.231937,-0.082419,0.633422
10.5,-0.233547,-0.10493,0.607321
10.6,-0.235047,-0.126721,0.582981
10.7,-0.237259,-0.148336,0.55851
10.8,-0.239425,-0.169771,0.533822
10.9,-0.241643,-0.191999,0.511312
11.0,-0.24428,-0.213838,0.489069
11.1,-0.246847,-0.234897,0.467172
11.2,-0.249396,-0.256178,0.445654
11.3,-0.251592,-0.27677,0.425325
11.4,-0.254584,-0.29653,0.406325
11.5,-0.257793,-0.31534,0.38908
11.6,-0.261107,-0.33442,0.374798
11.7,-0.263958,-0.352795,0.361751
11.8,-0.266253,-0.369868,0.350185
11.9,-0.269278,-0.38602,0.340453
12.0,-0.272783,-0.400845,0.333406
12.1,-0.277029,-0.414093,0.327673
12.2,-0.282005,-0.426407,0.322734
12.3,-0.286987,-0.437513,0.318401
12.4,-0.291978,-0.447376,0.314457
12.5,-0.296861,-0.455288,0.311407
12.6,-0.30172,-0.461778,0.310251
12.7,-0.306886,-0.466668,0.309345
12.8,-0.311574,-0.470465,0.309458
12.9,-0.316014,-0.473499,0.309233
13.0,-0.320115,-0.474861,0.309585
13.1,-0.323208,-0.474252,0.310788
13.2,-0.325186,-0.472273,0.311955
13.3,-0.327419,-0.468003,0.31353
13.4,-0.329639,-0.462035,0.31653
13.5,-0.331388,-0.454695,0.320448
13.6,-0.33216,-0.445134,0.323625
13.7,-0.332694,-0.43414,0.326263
13.8,-0.332728,-0.421074,0.329241
13.9,-0.332368,-0.405375,0.332169
14.0,-0.331516,-0.387405,0.336181
14.1,-0.330215,-0.367287,0.339119
14.2,-0.328192,-0.344762,0.342626
14.3,-0.32605,-0.320405,0.346483
14.4,-0.323976,-0.293564,0.349779
