t,x,y,z
0.0,-0.17662,0.017666,-0.003477
0.15,-0.168124,0.025472,-0.007315
0.29,-0.150737,0.040473,-0.008385
0.44,-0.130258,0.063753,-0.007873
0.58,-0.1194,0.090151,-0.006547
0.73,-0.121496,0.122898,-0.00642
0.87,-0.136025,0.159698,-0.010438
1.01,-0.159424,0.199407,-0.018534
1.16,-0.190061,0.241089,-0.032543
1.31,-0.222492,0.277412,-0.049359
1.45,-0.251232,0.303647,-0.064341
1.61,-0.281684,0.324067,-0.079407
1.76,-0.308426,0.33398,-0.09299
1.9,-0.329979,0.334686,-0.106195
2.04,-0.348316,0.329343,-0.119303
2.18,-0.36441,0.319659,-0.130072
2.32,-0.378608,0.306533,-0.138464
2.47,-0.392026,0.290327,-0.144668
2.6,-0.403026,0.275443,-0.148785
2.75,-0.413463,0.261017,-0.152106
2.88,-0.419628,0.251577,-0.153634
3.03,-0.421705,0.243446,-0.154959
3.16,-0.419733,0.238956,-0.156315
3.3,-0.413849,0.23707,-0.158432
3.43,-0.405669,0.237746,-0.160538
3.57,-0.394514,0.239261,-0.161596
3.7,-0.383459,0.240722,-0.160747
3.84,-0.372209,0.24242,-0.157886
3.97,-0.36264,0.244392,-0.154153
4.12,-0.353604,0.245648,-0.148567
4.25,-0.347673,0.245298,-0.142606
4.39,-0.342684,0.243358,-0.134774
4.53,-0.337605,0.239975,-0.127269
4.59,-0.335617,0.237931,-0.124146
4.8,-0.328458,0.225156,-0.110939
4.93,-0.324005,0.213584,-0.101347
5.01,-0.321025,0.205472,-0.095471
5.22,-0.308444,0.178265,-0.076523
5.35,-0.297773,0.160294,-0.064271
5.48,-0.284208,0.142639,-0.052884
5.62,-0.266065,0.124575,-0.042229
5.75,-0.246522,0.108949,-0.033989
5.89,-0.223948,0.094138,-0.027446
6.02,-0.202152,0.081843,-0.023744
6.17,-0.175502,0.067077,-0.020179
6.3,-0.152702,0.054638,-0.017602
6.43,-0.13033,0.043052,-0.015358
6.57,-0.106478,0.032081,-0.013688
6.71,-0.082507,0.022889,-0.012439
6.85,-0.059085,0.017034,-0.01171
6.99,-0.033912,0.015486,-0.012705
7.12,-0.01043,0.019094,-0.015734
7.27,0.016157,0.029858,-0.022549
7.41,0.038057,0.044373,-0.029561
7.54,0.054623,0.060204,-0.035526
7.68,0.068223,0.079404,-0.041003
7.83,0.079264,0.103806,-0.046037
7.96,0.084656,0.127402,-0.049414
8.1,0.087586,0.154014,-0.052417
8.24,0.088262,0.181779,-0.054683
8.39,0.087731,0.211968,-0.05719
8.52,0.086457,0.237652,-0.059056
8.66,0.084696,0.264516,-0.060497
8.81,0.081748,0.293847,-0.061151
8.94,0.078045,0.3176,-0.060276
9.09,0.072497,0.342854,-0.057865
9.22,0.066282,0.362846,-0.054871
9.37,0.057443,0.384012,-0.050188
9.51,0.048638,0.401089,-0.045689
9.65,0.039052,0.415787,-0.041017
9.79,0.02899,0.4278,-0.036261
9.93,0.018795,0.438091,-0.031584
10.07,0.007589,0.448088,-0.027469
10.22,-0.005788,0.458627,-0.024441
10.35,-0.018937,0.467635,-0.022588
10.5,-0.037479,0.477535,-0.020861
10.63,-0.055906,0.48429,-0.019941
10.72,-0.069747,0.487633,-0.019605
10.91,-0.102604,0.49021,-0.020661
11.05,-0.129798,0.488012,-0.022902
11.18,-0.157144,0.482977,-0.026147
11.33,-0.193499,0.471297,-0.032431
11.47,-0.229962,0.455261,-0.040708
11.62,-0.270569,0.432619,-0.051619
11.76,-0.309362,0.406915,-0.063056
11.9,-0.348265,0.378616,-0.075608
12.04,-0.386187,0.350457,-0.089464
12.11,-0.40335,0.338071,-0.09638
12.33,-0.463295,0.299158,-0.123266
12.47,-0.500023,0.277458,-0.141444
12.61,-0.537023,0.25799,-0.158251
12.75,-0.574291,0.241401,-0.172724
12.89,-0.610816,0.228102,-0.185177
13.03,-0.646006,0.218411,-0.195473
13.17,-0.681993,0.212038,-0.203347
13.31,-0.714539,0.209609,-0.207912
13.45,-0.74299,0.210889,-0.210476
13.59,-0.766596,0.215045,-0.212302
13.74,-0.786203,0.222314,-0.213283
13.87,-0.798238,0.23022,-0.21329
14.01,-0.807088,0.240672,-0.213267
14.15,-0.810537,0.252747,-0.213171
14.3,-0.809001,0.268072,-0.213159
14.43,-0.803919,0.282666,-0.21314
14.58,-0.793926,0.300297,-0.213652
14.72,-0.780635,0.315554,-0.214775
14.86,-0.763493,0.331115,-0.216237
15.0,-0.743271,0.347811,-0.216606
15.14,-0.720043,0.367041,-0.214987
15.28,-0.694115,0.388981,-0.21135
15.42,-0.666465,0.411748,-0.205528
15.56,-0.637586,0.43393,-0.197333
15.7,-0.605432,0.455809,-0.186887
15.83,-0.574481,0.473186,-0.175961
15.97,-0.540248,0.488307,-0.163953
16.11,-0.505657,0.499802,-0.151842
16.25,-0.470863,0.508403,-0.139984
16.39,-0.436201,0.516094,-0.129181
16.53,-0.402164,0.524327,-0.119491
16.66,-0.367755,0.533094,-0.111719
16.78,-0.335783,0.541282,-0.105946
16.94,-0.291793,0.552733,-0.100661
17.08,-0.252003,0.563639,-0.098703
17.21,-0.213852,0.574041,-0.099369
17.36,-0.169569,0.585731,-0.102676
17.49,-0.129812,0.595896,-0.107542
17.64,-0.087144,0.606539,-0.114218
17.78,-0.051121,0.615899,-0.120672
17.92,-0.018848,0.625675,-0.127139
18.05,0.006414,0.634696,-0.132668
18.2,0.029727,0.643806,-0.138379
18.33,0.046119,0.650971,-0.142777
18.48,0.059675,0.656361,-0.146424
18.62,0.068604,0.658127,-0.148723
