t,x,y,z
0.0,0.0,0.0,0.024885
0.02,-0.008051,0.000475,0.024885
0.04,0.018466,-0.012384,0.024885
0.06,0.037573,0.004991,0.024885
0.08,0.014026,0.024815,0.024885
0.1,0.007977,0.024128,0.024885
0.12,-0.0005,0.051698,0.024885
0.14,-0.000559,0.051511,0.024885
0.16,-0.018617,0.068689,0.024885
0.18,-0.005042,0.068129,0.024885
0.2,-0.004711,0.067729,0.024885
0.22,-0.004923,0.067582,0.024885
0.24,-0.01981,0.095719,0.024885
0.26,-0.005038,0.09537,0.024885
0.28,-0.00458,0.095312,0.024885
0.3,-0.004459,0.095292,0.024885
0.32,-0.004464,0.093144,0.022363
0.34,0.009709,0.093156,0.02
0.36,0.009677,0.093082,0.025458
0.38,0.009699,0.093037,0.039123
0.4,0.009728,0.092855,0.03965
0.42,0.022318,0.09324,0.039022
0.44,0.022127,0.093083,0.034145
0.46,0.022113,0.093175,0.048355
0.48,0.022181,0.093422,0.052797
0.5,0.021849,0.097024,0.043896
0.52,0.021727,0.096845,0.055013
0.54,0.021705,0.096808,0.057619
0.56,0.036991,0.091021,0.054422
0.58,0.031345,0.08901,0.068346
0.6,0.031593,0.089024,0.055064
0.62,0.031638,0.088518,0.068899
0.64,0.053293,0.087938,0.060309
0.66,0.053414,0.086522,0.073101
0.68,0.053493,0.086112,0.079255
0.7,0.053903,0.08524,0.076598
0.72,0.073853,0.084088,0.079908
0.74,0.073902,0.083504,0.081478
0.76,0.073807,0.083345,0.091675
0.78,0.07376,0.082944,0.082697
0.8,0.095457,0.080333,0.095962
0.82,0.095596,0.079968,0.096792
0.84,0.095686,0.079608,0.10027
0.86,0.095952,0.078901,0.097092
0.88,0.121649,0.079199,0.101607
0.9,0.121812,0.078946,0.105835
0.92,0.121654,0.078863,0.111898
0.94,0.122095,0.07876,0.11151
0.96,0.123387,0.077241,0.119955
0.98,0.123527,0.076729,0.116237
1.0,0.12349,0.076522,0.114969
1.02,0.124164,0.077592,0.120816
1.04,0.146967,0.076174,0.133844
1.06,0.147379,0.076365,0.125701
1.08,0.147504,0.075866,0.139643
1.1,0.146753,0.081095,0.139066
1.12,0.149978,0.081111,0.137304
1.14,0.150533,0.080789,0.142378
1.16,0.150937,0.080055,0.145582
1.18,0.198473,0.090466,0.147788
1.2,0.197922,0.089553,0.142031
1.22,0.197908,0.089258,0.153647
1.24,0.198129,0.088906,0.158153
1.26,0.241231,0.088607,0.165194
1.28,0.241612,0.087937,0.156964
1.3,0.241604,0.087469,0.17226
1.32,0.24174,0.086384,0.164762
1.34,0.273675,0.081839,0.175993
1.36,0.273794,0.081934,0.169184
1.38,0.273628,0.081555,0.172532
1.4,0.274238,0.082669,0.179412
1.42,0.276661,0.084481,0.177289
1.44,0.275846,0.083508,0.189705
1.46,0.27593,0.082851,0.183225
1.48,0.275762,0.083899,0.184723
1.5,0.290131,0.084608,0.188532
1.52,0.290849,0.083595,0.199359
1.54,0.290847,0.081774,0.198087
1.56,0.290465,0.082313,0.201787
1.58,0.296768,0.08344,0.207041
1.6,0.296694,0.081956,0.207805
1.62,0.297744,0.081623,0.19908
1.64,0.361323,0.082407,0.204608
1.66,0.361156,0.082552,0.206799
1.68,0.361249,0.08151,0.21084
1.7,0.361866,0.081187,0.223052
1.72,0.413967,0.077416,0.221872
1.74,0.413387,0.077248,0.224401
1.76,0.412998,0.076255,0.22284
1.78,0.413297,0.075204,0.231373
1.8,0.45532,0.066915,0.234276
1.82,0.454224,0.066767,0.232033
1.84,0.453839,0.065886,0.244305
1.86,0.45351,0.065745,0.235046
1.88,0.402256,0.05328,0.24761
1.9,0.401783,0.053366,0.246757
1.92,0.401927,0.05315,0.242059
1.94,0.40187,0.052694,0.256931
1.96,0.399508,0.051378,0.2549
1.98,0.398293,0.052559,0.263842
2.0,0.398493,0.052346,0.255743
2.02,0.397721,0.052079,0.258166
2.04,0.401769,0.053513,0.265726
2.06,0.401221,0.053467,0.271027
2.08,0.402144,0.052311,0.280976
2.1,0.402227,0.046973,0.279465
2.12,0.402181,0.046254,0.276759
2.14,0.402024,0.045653,0.277974
2.16,0.402347,0.044461,0.276463
2.18,0.398323,0.046596,0.285478
2.2,0.397885,0.046379,0.291087
2.22,0.39783,0.046181,0.299548
2.24,0.398324,0.045041,0.299803
2.26,0.452875,0.036931,0.298386
2.28,0.452816,0.036659,0.301095
2.3,0.453025,0.036272,0.307793
2.32,0.453108,0.035458,0.311254
2.34,0.452247,0.033906,0.320736
2.36,0.451834,0.033724,0.31015
2.38,0.452162,0.033302,0.320575
2.4,0.451047,0.032524,0.321187
2.42,0.449761,0.035218,0.31236
2.44,0.450386,0.034453,0.320628
2.46,0.450156,0.033051,0.314125
2.48,0.524632,0.021427,0.324388
2.5,7.373075,3.557475,0.337584
2.52,7.372437,3.556245,0.347486
2.54,7.372982,3.554312,0.336468
2.56,7.475163,3.55274,0.34336
2.58,7.474429,3.547761,0.342273
2.6,7.474747,3.546953,0.348671
2.62,7.47478,3.544803,0.338913
2.64,7.545971,3.52303,0.350756
2.66,7.545374,3.522048,0.349605
2.68,7.545073,3.521438,0.362404
2.7,7.543746,3.520312,0.350583
2.72,7.545391,3.469266,0.372797
2.74,7.544801,3.467371,0.370016
2.76,7.5454,3.466737,0.371428
2.78,7.544729,3.465145,0.365081
2.8,7.593087,3.458459,0.381161
2.82,7.592136,3.456618,0.366877
2.84,7.592259,3.456189,0.375617
2.86,7.589857,3.455307,0.383279
2.88,7.597558,3.453947,0.392943
2.9,7.595058,3.452425,0.392227
2.92,7.593842,3.452128,0.396133
2.94,7.593767,3.449337,0.40332
2.96,7.600395,3.452623,0.400745
2.98,7.599246,3.452016,0.403445
3.0,7.598859,3.451075,0.404398
3.02,7.602582,3.448925,0.405404
3.04,7.602106,3.447148,0.418304
3.06,7.602228,3.446084,0.405452
3.08,7.601974,3.445569,0.415036
3.1,7.597466,3.45099,0.419779
3.12,7.597175,3.450603,0.418371
3.14,7.597439,3.449744,0.42456
3.16,7.596374,3.449199,0.431055
3.18,7.602224,3.382851,0.433139
3.2,7.601431,3.383289,0.436392
3.22,7.601351,3.382139,0.439279
3.24,7.60046,3.380186,0.438869
3.26,7.599293,3.383091,0.437702
3.28,7.598502,3.382189,0.450372
3.3,7.598654,3.381406,0.457483
3.32,7.598484,3.381109,0.452187
3.34,7.597592,3.380555,0.455775
3.36,7.595537,3.378919,0.461587
3.38,7.594942,3.378248,0.45516
3.4,7.593574,3.376878,0.467483
3.42,7.60096,3.37877,0.470967
3.44,7.599852,3.378374,0.473251
3.46,7.59881,3.376365,0.467111
3.48,7.599617,3.374754,0.476087
3.5,7.601238,3.374023,0.477698
3.52,7.601089,3.373076,0.473144
3.54,7.600034,3.372497,0.48988
3.56,7.713668,3.352995,0.487609
3.58,7.713901,3.35348,0.482339
3.6,7.713987,3.352486,0.492401
3.62,7.713612,3.351544,0.499381
3.64,7.800904,3.336051,0.49768
3.66,7.800552,3.334732,0.512857
3.68,7.800334,3.333073,0.503649
3.7,7.800682,3.331704,0.506132
3.72,7.800536,3.334969,0.504793
3.74,7.800221,3.333456,0.50632
3.76,7.800078,3.332017,0.514736
3.78,7.8006,3.333832,0.522489
3.8,7.799687,3.336957,0.529375
3.82,7.798069,3.335679,0.523503
3.84,7.797998,3.336149,0.52749
3.86,7.797657,3.333833,0.530094
3.88,7.807245,3.333769,0.529741
3.9,7.808003,3.331858,0.536085
3.92,7.807338,3.330173,0.544931
3.94,7.807517,3.330383,0.548781
3.96,7.806948,3.330816,0.552394
3.98,7.806832,3.329885,0.546214
4.0,7.806551,3.329304,0.551508
4.02,7.924685,3.298736,0.55097
4.04,7.924413,3.298181,0.554158
4.06,7.924617,3.296683,0.56887
4.08,7.924352,3.296157,0.552742
4.1,8.05162,3.300766,0.563588
4.12,8.051953,3.300008,0.574059
4.14,8.052043,3.298218,0.574622
4.16,8.053302,3.298864,0.58363
4.18,8.114801,3.289896,0.574447
4.2,8.115318,3.288765,0.573726
