t,x,y,z
133.325000,0.379220,-1.042308,1.090477
133.475000,-0.965709,-0.509484,-1.115122
133.615000,0.822963,-0.858289,0.034582
133.765000,1.004083,-0.080740,2.629270
133.905000,-1.918118,-1.755338,0.262164
134.055000,-1.320559,-1.479822,1.481527
134.195000,0.043521,2.097518,0.148314
134.335000,-0.472119,-1.344301,0.642140
134.485000,-0.229700,-1.183905,0.004886
134.635000,-1.108369,1.709543,-0.111444
134.775000,0.605046,2.736003,-0.724780
134.935000,0.505131,-1.388647,0.480743
135.085000,-0.187879,-0.625963,-0.800943
135.225000,0.898376,0.052921,0.720679
135.365000,0.260879,1.416804,1.147245
135.505000,-1.053878,-1.312036,0.437327
135.645000,0.174681,-0.574068,-0.208341
135.795000,-1.161758,0.454050,0.535995
135.925000,0.658856,0.123952,-0.226043
136.075000,-0.290053,-0.674427,1.015476
136.205000,-0.447413,-0.422120,-1.753720
136.355000,-0.964997,-1.658072,-0.257527
136.485000,0.914686,-0.521684,-1.909653
136.625000,-0.486179,-0.556818,-1.408938
136.755000,-0.782877,-0.071501,1.454963
136.895000,-0.726184,-0.875218,0.990715
137.025000,0.139324,0.131004,-0.617758
137.165000,-0.043878,0.651398,-1.393130
137.295000,-0.012758,-0.228293,-2.844781
137.445000,-0.008119,-0.052530,-0.412227
137.575000,1.693911,-0.367976,2.562415
137.715000,-0.858145,-0.436849,0.587794
137.855000,-0.961272,-1.171957,-0.396870
137.915000,-1.254340,-0.143897,0.635728
138.125000,0.190956,-0.565339,-1.383752
138.255000,0.725630,1.620840,-0.115998
138.335000,-0.493549,1.099023,0.284040
138.545000,-1.192264,-0.088633,0.102135
138.675000,-1.148103,-1.235634,0.982959
138.805000,0.353860,-1.581087,0.540103
138.945000,0.475140,0.728386,0.866723
139.075000,0.298253,-0.194468,-0.487442
139.215000,-0.882870,0.030326,1.101513
139.345000,0.039923,-2.187033,1.833822
139.495000,-0.052514,0.491616,-0.765089
139.625000,0.072867,0.024083,-0.682315
139.755000,0.745889,-1.537919,1.542006
139.895000,0.118828,-0.898421,0.016764
140.035000,0.594903,-0.164509,1.614941
140.175000,0.005706,-0.378326,-0.227593
140.315000,0.249523,-0.725880,1.674001
140.445000,0.618073,-0.540283,0.354625
