t,ax,ay,az,wx,wy,wz
63.852528,-0.228882,-0.265057,9.786108,-0.003117,0.002950,-0.002846
63.862425,-0.237203,-0.259990,9.774526,0.000747,-0.001200,0.000370
63.872304,-0.233138,-0.250376,9.779905,-0.000790,-0.002115,-0.001870
63.882207,-0.242469,-0.267549,9.765124,0.002859,0.002410,-0.004197
63.892076,-0.244081,-0.261462,9.778828,0.002178,-0.002898,0.001678
63.901975,-0.231707,-0.262611,9.765889,0.000184,0.002103,-0.003457
63.911847,-0.250355,-0.266022,9.781771,0.002814,-0.000964,0.002617
63.921758,-0.243322,-0.225618,9.806596,-0.004693,0.006662,-0.004935
63.931619,-0.239866,-0.238275,9.796218,0.000654,-0.003510,0.002872
63.941516,-0.236813,-0.259720,9.763076,0.000187,0.002575,0.000784
63.951397,-0.236052,-0.268193,9.790955,0.000149,-0.002206,-0.000152
63.961297,-0.242458,-0.258470,9.806171,0.004819,-0.001273,-0.001305
63.971169,-0.249350,-0.239131,9.807142,-0.001831,-0.001707,0.002197
63.981060,-0.240419,-0.248839,9.795224,0.002491,0.001763,0.001317
63.990946,-0.242460,-0.267720,9.794236,0.001345,-0.002028,0.004311
64.000841,-0.237537,-0.230833,9.795009,0.000040,-0.002104,-0.002578
64.010712,-0.245184,-0.230980,9.799461,0.004291,-0.003428,-0.000783
64.020606,-0.243707,-0.262054,9.798286,-0.002435,0.002444,-0.001700
64.030486,-0.256956,-0.243713,9.818671,-0.000310,0.001181,0.000283
64.040388,-0.244088,-0.263244,9.803110,0.001084,0.003088,-0.001246
64.050256,-0.254844,-0.254273,9.780936,-0.000538,0.003039,0.002732
64.060157,-0.232670,-0.246387,9.798245,-0.001312,-0.000908,-0.000324
64.070034,-0.214801,-0.260002,9.807911,0.001415,0.005214,-0.001983
64.079940,-0.236519,-0.240363,9.787472,-0.003068,0.000971,-0.004081
64.089801,-0.229285,-0.240083,9.787439,0.000049,0.000200,0.001809
64.099706,-0.242029,-0.250110,9.787357,0.002176,-0.002382,0.004339
64.109574,-0.241770,-0.262905,9.786234,0.001481,-0.001496,0.000250
64.119489,-0.243341,-0.254073,9.777883,0.001828,0.000851,0.000682
64.129348,-0.238435,-0.238089,9.772354,0.000758,0.001789,-0.000708
64.139243,-0.242884,-0.241849,9.791929,0.000265,0.003619,0.001220
64.149121,-0.246355,-0.267516,9.799905,0.001237,0.004475,-0.003089
