t,x,y,z
0.0,0.0,0.0,0.0
0.01,1e-06,2e-06,-0.0
0.02,3e-06,7e-06,1.4e-05
0.03,6e-06,1.6e-05,8.2e-05
0.04,9e-06,2.4e-05,0.000235
0.05,9e-06,3.2e-05,0.00049
0.06,5e-06,3.9e-05,0.000839
0.07,3e-06,4.6e-05,0.001263
0.08,2e-06,4.8e-05,0.00175
0.09,2e-06,4.3e-05,0.002306
0.1,-2e-06,3.5e-05,0.002938
0.11,-1.1e-05,2.6e-05,0.003648
0.12,-2.8e-05,1.9e-05,0.004432
0.13,-5e-05,1e-05,0.005282
0.14,-7.3e-05,2e-06,0.006192
0.15,-9.4e-05,-7e-06,0.007158
0.16,-0.000114,-1.8e-05,0.008176
0.17,-0.000136,-3.2e-05,0.00924
0.18,-0.000161,-4.6e-05,0.010347
0.19,-0.000186,-5.3e-05,0.011495
0.2,-0.000211,-5.5e-05,0.012668
0.21,-0.000236,-5.5e-05,0.013861
0.22,-0.00026,-5.3e-05,0.015076
0.23,-0.000286,-4.5e-05,0.01631
0.24,-0.000311,-3.4e-05,0.017557
0.25,-0.000335,-2.4e-05,0.018807
0.26,-0.000356,-1.7e-05,0.020051
0.27,-0.000377,-1e-05,0.021293
0.28,-0.000401,-5e-06,0.022532
0.29,-0.000422,-2e-06,0.023752
0.3,-0.000441,-1e-06,0.024955
0.31,-0.000461,-0.0,0.026157
0.32,-0.000486,1e-06,0.027363
0.33,-0.000516,2e-06,0.028571
0.34,-0.000551,4e-06,0.029785
0.35,-0.000587,7e-06,0.031007
0.36,-0.000624,1.1e-05,0.032241
0.37,-0.00066,1.7e-05,0.033487
0.38,-0.000694,2.4e-05,0.034739
0.39,-0.00073,2.8e-05,0.035996
0.4,-0.000768,3.3e-05,0.037255
0.41,-0.000803,4.2e-05,0.038503
0.42,-0.000838,5.4e-05,0.039726
0.43,-0.000874,6.5e-05,0.040927
0.44,-0.000914,7.4e-05,0.042117
0.45,-0.000962,8.4e-05,0.043308
0.46,-0.001015,9.6e-05,0.044496
0.47,-0.00107,0.000111,0.045669
0.48,-0.001125,0.000135,0.046832
0.49,-0.00118,0.000169,0.047996
0.5,-0.001239,0.000212,0.049167
0.51,-0.001302,0.000258,0.050348
0.52,-0.001365,0.000304,0.051544
0.53,-0.001424,0.000346,0.052757
0.54,-0.001481,0.000388,0.053979
0.55,-0.001534,0.000435,0.055197
0.56,-0.001582,0.000488,0.056402
0.57,-0.001624,0.000545,0.057605
0.58,-0.001663,0.000606,0.058818
0.59,-0.001705,0.000667,0.060045
0.6,-0.001746,0.000728,0.061285
0.61,-0.001782,0.000787,0.062529
0.62,-0.001812,0.000842,0.063775
0.63,-0.001837,0.000894,0.065023
0.64,-0.001859,0.000942,0.066276
0.65,-0.001879,0.000987,0.067529
0.66,-0.001896,0.001033,0.068775
0.67,-0.001911,0.001084,0.070017
0.68,-0.001925,0.001135,0.07126
0.69,-0.001941,0.001184,0.072509
0.7,-0.001956,0.001233,0.073755
0.71,-0.001972,0.001285,0.074987
0.72,-0.001992,0.001343,0.076212
0.73,-0.002018,0.001405,0.077444
0.74,-0.002047,0.001467,0.078684
0.75,-0.002078,0.001529,0.079926
0.76,-0.00211,0.001592,0.081159
0.77,-0.00214,0.00165,0.082382
0.78,-0.002167,0.001704,0.0836
0.79,-0.002193,0.001757,0.084804
0.8,-0.002228,0.001811,0.08599
0.81,-0.002271,0.001864,0.087172
0.82,-0.002317,0.001916,0.088364
0.83,-0.002364,0.001969,0.089571
0.84,-0.002413,0.002028,0.090781
0.85,-0.002464,0.002089,0.091977
0.86,-0.00252,0.002151,0.09316
0.87,-0.002578,0.002216,0.094345
0.88,-0.002643,0.002281,0.095529
0.89,-0.002711,0.002342,0.096701
0.9,-0.002777,0.0024,0.097858
0.91,-0.002841,0.00246,0.098998
0.92,-0.002905,0.002525,0.100122
0.93,-0.002971,0.002597,0.101224
0.94,-0.003036,0.002675,0.102307
0.95,-0.003098,0.002754,0.10339
0.96,-0.003154,0.00283,0.104481
0.97,-0.003207,0.002899,0.105571
0.98,-0.003259,0.002961,0.106661
0.99,-0.003311,0.003026,0.10776
1.0,-0.003364,0.003098,0.108879
1.01,-0.003419,0.003176,0.11002
1.02,-0.003473,0.003256,0.111182
1.03,-0.003532,0.003342,0.112362
1.04,-0.003596,0.003432,0.113563
1.05,-0.003663,0.003529,0.114782
1.06,-0.003732,0.003628,0.116013
1.07,-0.003805,0.003724,0.117251
1.08,-0.003881,0.003816,0.118491
1.09,-0.003961,0.003906,0.119716
1.1,-0.004046,0.003991,0.120923
1.11,-0.004134,0.004076,0.122128
1.12,-0.004223,0.004162,0.123339
