t,x,y,z,qx,qy,qz,qw,vx,vy,vz
1.62,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.6400000000000001,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.6600000000000001,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.6800000000000002,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.7000000000000002,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.7200000000000002,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.74,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.76,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.78,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.8,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.82,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.84,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.86,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.88,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.9,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.92,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.94,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.96,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
1.98,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.0,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.02,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.04,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.06,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.08,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.1,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.12,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.14,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.16,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.18,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.2,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.22,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.24,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.26,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.2800000000000002,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.3,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.32,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.34,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.36,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.38,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.4,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.42,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.44,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.46,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.48,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.5,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.52,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.54,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
2.56,4.4483472379696394e-24,2.3869311066497925e-22,-9.901982769670858e-07,4.905248685018716e-21,8.029554220284833e-21,-1.2514699855573246e-21,1.0,0.0,0.0,0.0
