t,x,y,z,qx,qy,qz,qw,vx,vy,vz
302.54,-3.6046825064655714e-07,2.8079020604616885e-06,0.0002706871859323168,-1.2784692125561737e-06,1.0106973763717163e-06,-3.127085068542096e-06,0.9999999999937826,-1.8362600736108568e-05,4.661390258162953e-06,0.00012104220336555927
302.56,-4.860795532031944e-07,2.8256745639867303e-06,0.00027301220721442226,-1.535676080088759e-06,4.043724261739734e-06,-3.5408815397572804e-06,0.999999999984376,1.6865330416629341e-06,-3.8625803928245436e-07,0.00011029482805067184
302.58,-2.0482881507263885e-07,2.832790915713845e-06,0.00035731311973952185,-2.062642136071449e-06,-3.3746406542926606e-06,-3.0054582075628817e-06,0.9999999999876622,1.0030869981893892e-05,1.790953879647008e-06,0.007278152577740593
302.6,-3.628549106479683e-07,2.8984240388642042e-06,0.0007931515637236188,-1.0254416476133253e-06,9.69371987604314e-07,-3.3060899390645266e-06,0.9999999999935393,-9.519167368849047e-06,2.675857322358182e-06,0.026956547998765807
302.62,-3.0174994746324e-07,2.902449325156998e-06,0.0016396694688117323,-1.6227937931439422e-06,-8.759160745565332e-07,-3.265394179094263e-06,0.9999999999929683,6.980297316544173e-06,-3.228750227463544e-07,0.04730082464855546
302.64,-1.9957461582336964e-07,2.9344410957871764e-06,0.0028629930205795392,-1.4308990250989217e-06,-3.786525474394328e-06,-3.0220423473941456e-06,0.999999999987241,2.7482627062456904e-06,2.1826469925756773e-06,0.0655429878538071
302.66,-3.2682368738308367e-07,2.9932037658473197e-06,0.0044172386919944275,-5.318269483539204e-07,-9.706212874551905e-07,-3.1543916245682726e-06,0.9999999999944125,-7.682595768242757e-06,2.554050319760784e-06,0.08158998600888206
302.68,-3.966351891370685e-07,3.012437732373778e-06,0.006258274545938084,-5.89088345058366e-07,1.3068781528005122e-07,-3.250111252212526e-06,0.9999999999945364,-1.178113730863461e-06,3.622975722563812e-07,0.09534026568664843
302.7,-3.5112122720091207e-07,3.025048382520195e-06,0.008335960156598012,-6.989045869965336e-07,-1.617438611496622e-06,-3.1243584091356175e-06,0.9999999999935669,2.514378228548981e-06,7.653873883458533e-07,0.10644037589559825
302.72,-3.897790144709393e-07,3.05842443810537e-06,0.010586179460244278,-1.9340009357242253e-07,-1.0751876740374324e-06,-3.1204357203356184e-06,0.9999999999945347,-3.041359395438959e-06,1.65773700652281e-06,0.11445519214207392
302.74,-4.4930185129481593e-07,3.0745997373505602e-06,0.012968248683561324,-6.704413483242134e-08,-3.546296799928627e-08,-3.1940393336776684e-06,0.9999999999948962,-1.8447828341185385e-06,4.0803142182011027e-07,0.12042164081315876
302.76,-4.4031793261577186e-07,3.0790768287502837e-06,0.015447604712502453,-1.471484299311503e-07,-7.003069574050968e-07,-3.130475778948229e-06,0.999999999994844,4.929079216007956e-07,3.414430661724665e-07,0.12506554918961033
302.78,-4.762179814168619e-07,3.095011790880746e-06,0.018014061376875484,1.4575352085846977e-07,-6.172631060188625e-08,-3.1531848053151195e-06,0.9999999999950162,-2.2402336176087355e-06,8.28615125837403e-07,0.12938583052436786
302.8,-5.039137004831082e-07,3.0981458508466413e-06,0.020661073948974155,1.5983650776135772e-07,4.3428222597033857e-07,-3.1914332691665804e-06,0.9999999999948003,-8.591861355642999e-07,-3.4181459710232875e-08,0.1332958546143543
302.82,-4.899882826251064e-07,3.092690855775707e-06,0.02337803500231812,6.0739792590849134e-09,-3.27151643751983e-08,-3.160805339462612e-06,0.9999999999950041,8.792546472199914e-07,-2.1289739826824678e-07,0.1366505719195737
302.84,-4.89259849012526e-07,3.095126799143115e-06,0.026153522582673706,8.315425708613282e-08,-7.322671141976042e-08,-3.1499186506951657e-06,0.9999999999950329,-3.166632723633178e-07,2.2331319008421168e-07,0.1394362911709098
302.86,-5.026493968957953e-07,3.096320712685511e-06,0.02897682058956718,1.3483839519970952e-07,2.661723528413584e-07,-3.173784551291434e-06,0.9999999999949191,-6.274186699119387e-07,-2.6114400423642244e-10,0.14170041458922172
302.88,-4.975867049555777e-07,3.0912265802992423e-06,0.031838544220595254,3.4007266835404303e-08,1.4851302035431126e-07,-3.1703985463509217e-06,0.9999999999949627,4.3856494503493007e-07,-2.602373690106465e-07,0.14351367789065048
302.9,-4.886624242285628e-07,3.089344773510728e-06,0.03473079908691089,2.0533468375688288e-08,-3.930420952071247e-08,-3.1565727769102685e-06,0.9999999999950171,3.1244403360651215e-07,-1.3387646594962422e-08,0.14495076747633334
302.92,-4.915419141348032e-07,3.0899324464723352e-06,0.03761971057012698,6.398429679762814e-08,7.673191196096143e-08,-3.164840023182142e-06,0.9999999999949869,-2.3404463341254564e-07,2.06769880863648e-08,0.14351655912299904
302.94,-4.890571129185756e-07,3.0872758571908963e-06,0.04042586196982893,1.8385571783594632e-08,3.712698491833475e-08,-3.1646125523782468e-06,0.9999999999949917,2.4179325807406965e-07,-1.4796823798406727e-07,0.13905384973274887
302.96,-4.864519419854043e-07,3.086346384702766e-06,0.0431717655254701,1.6916858540759736e-08,-4.115898174174576e-09,-3.160861277922688e-06,0.9999999999950043,2.5374400501928935e-08,-3.127242093028319e-09,0.1372082777228034
302.98,-4.871771802025041e-07,3.0856711455979225e-06,0.04592268600884879,1.5576809261645006e-08,3.39511069366182e-08,-3.165045734787288e-06,0.9999999999949906,-5.139133838417694e-09,-5.1717530334768665e-08,0.13765605622170438
