t,x,y,z,qx,qy,qz,qw,vx,vy,vz
5.48,-4.1341491095536e-21,4.491354187761211e-21,-5.704179523412234e-07,1.5190339772557244e-19,1.494855999609576e-19,-2.774768876441841e-20,1.0,0.0,0.0,0.0
5.5,-3.5952060695950876e-21,4.001751093210952e-21,8.185879631033427e-05,1.5231365684843415e-19,1.4985973001618945e-19,-3.1793435670190166e-20,1.0,3.607065628287011e-20,-3.4233755553675775e-20,0.007165684452974802
5.52,-1.5774012098344222e-21,2.0102875347655547e-20,0.0004707233965316887,6.351033937372021e-19,1.3052145047375966e-19,-4.041324323664601e-20,1.0,1.310968178632365e-19,1.5312986672585559e-18,0.022830687789621856
5.54,1.4517767139059356e-21,4.804078804856745e-20,0.0011614847028932097,1.5124449891254195e-18,9.456398566437313e-20,-4.6639962832078487e-20,1.0,1.4620396116819373e-19,1.4345349725484827e-18,0.03900510610911519
5.5600000000000005,4.5250232832543084e-21,6.826087463535987e-20,0.002202487088761345,2.38816612493725e-18,5.824753854690769e-20,-4.8219347305029125e-20,1.0,1.4484475044098885e-19,1.1333816928958422e-18,0.055804710215215735
5.58,7.362272700712152e-21,7.710975918341971e-20,0.003526069083299447,3.261564256838005e-18,2.193825529973209e-20,-4.823571540137596e-20,1.0,1.334316940571728e-19,7.100250382740149e-19,0.06978714253698705
5.6,9.803068997745302e-21,7.225188839356029e-20,0.00508730257637104,4.132072498777797e-18,-1.453290377934081e-20,-4.412882160656089e-20,1.0,1.1749455409426752e-19,2.0823483240714848e-19,0.07976081535069379
5.62,1.3248482906268416e-20,-1.7246997618334138e-20,0.0067895693134086554,3.05228474768073e-18,-8.73319005352813e-20,4.0623451638322334e-19,1.0,9.896415151673682e-19,-5.287339152025863e-18,0.08696610528273682
5.64,2.111961437085342e-20,-9.627149101919617e-20,0.008625381680978966,2.431156826933186e-18,-2.9313225307994404e-19,4.8080453735622505e-19,1.0,4.180193247174078e-19,-3.4564716689351623e-18,0.09379724200086377
5.66,2.632661270905432e-20,-1.8234930836503892e-19,0.010636347981361632,1.5256570333324076e-18,-4.83384620534865e-19,5.167962337011464e-19,1.0,3.0657705067744003e-19,-4.154271953777317e-18,0.10280921472055823
5.68,2.8409587280635684e-20,-2.6589356982003445e-19,0.012782462452362763,4.679903425867718e-19,-6.650160617858699e-19,5.328474740602537e-19,1.0,2.0123813619903578e-19,-3.887908181149792e-18,0.10782509251793285
5.7,2.734555324772475e-20,-3.3632617337352045e-19,0.014985565505814726,-5.869569531858155e-19,-8.452528822872368e-19,5.392582451620416e-19,1.0,8.487472748698612e-20,-3.4120326391334586e-18,0.1113719891705639
5.72,2.2878671829275338e-20,-3.904160498953287e-19,0.017302112213512338,-1.6385539147748178e-18,-1.0246310658746944e-18,5.421077365120178e-19,1.0,-3.59828628011856e-20,-2.8149352040085746e-18,0.11734527911919646
5.74,1.4853796502318072e-20,-4.2616679550822015e-19,0.019737054126947175,-2.6864281693593452e-18,-1.203311831364969e-18,5.43247821185534e-19,1.0,-1.5984288505004154e-19,-2.1530735014903874e-18,0.12317242569968856
5.76,3.1778589860328243e-21,-4.423142219926692e-19,0.02227815196359596,-3.730380739529666e-18,-1.3814079993642426e-18,5.4399838954701e-19,1.0,-2.856702743943073e-19,-1.4534597983413033e-18,0.1282525057341839
5.78,-5.447053983799296e-20,-3.961514433190543e-19,0.02486113580840343,-3.593801028649412e-18,-3.787606845434117e-19,7.306934388888886e-19,1.0,-4.0150790010893604e-18,2.828752887795062e-18,0.12944798868273766
5.8,-6.596853779152883e-20,-3.786450675753689e-19,0.027489790510466964,-4.648661543397206e-18,-5.849559449425492e-19,7.092841980688296e-19,1.0,2.5860062713128835e-18,-3.0171322820073244e-18,0.13217327145520208
5.82,5.866396145845071e-20,-3.7996826560571857e-19,0.030178634395444482,-6.5626804050344075e-18,-4.4349607827310494e-18,1.0815543699506425e-18,1.0,6.960718024156709e-18,3.14782592148303e-18,0.13518772779173502
5.84,-2.016334197747977e-20,9.202490617717867e-20,0.03292434340178846,4.023955177896137e-18,-3.2528702197538816e-18,1.9083662833941438e-19,1.0,-5.7247935812498266e-18,2.6514033522757578e-17,0.13795667709259468
5.86,-9.682458554662517e-20,1.4106384618959158e-19,0.03567105985078177,4.113153049801277e-18,-2.603775197134475e-18,2.910907673155316e-19,1.0,-2.2132144442740126e-19,-8.911697184066812e-18,0.13605157857582012
5.88,-1.4294310107994746e-20,2.032094067325123e-19,0.0383337309147086,6.290090155723761e-18,-6.359364208571325e-18,2.1407443837347576e-19,1.0,5.202129493714605e-18,1.6115030144159673e-17,0.13287708691519792
5.9,-5.603847814366416e-21,-3.731060658479085e-20,0.041006361548830556,8.757838315400388e-19,-8.714829850338856e-18,2.681163496879523e-19,1.0,1.7026103704535412e-18,-2.4306979374739952e-17,0.13401586502709145
5.92,-1.298077065180984e-19,-4.839602568731448e-19,0.0437181266144072,-1.0040510137321991e-17,-8.404635672749118e-18,7.4563877107505855e-19,1.0,-7.269498510603096e-18,-1.3034851758351965e-17,0.13605388457742507
5.94,-3.9569911389124786e-19,-2.849676839783649e-19,0.046408719357887304,-5.403549430192903e-18,-4.881938106739426e-18,5.775464950814255e-19,1.0,-1.3341429365496009e-17,1.7060558435547416e-18,0.13419603829657317
5.96,-5.999608610588401e-19,-5.445641094748254e-19,0.0490701229370019,-1.4628015434796262e-17,-2.8361136814525546e-18,7.279756362020628e-19,1.0,-4.101926921276881e-18,-6.7562910085807665e-18,0.13290638215296133
5.98,-5.882067046183139e-19,3.9425329164642756e-19,0.05172592065385931,7.45660458042553e-18,-5.9835951535036936e-18,9.200843415754696e-19,1.0,3.734451860142512e-19,5.2215929948424515e-17,0.13212042591511236
6.0,-6.562708520717303e-19,5.504865450414322e-19,0.05429360596664867,9.595544629047486e-18,-6.947856807069077e-18,1.3260382010426473e-18,1.0,-2.389217726400721e-18,-5.350419663376128e-18,0.12786986497790864
6.02,-1.0357756871425208e-18,7.507700095149673e-19,0.05683343442460462,1.631357033059655e-17,4.409297645210331e-19,8.686242978220583e-19,1.0,-2.3180011362436708e-17,1.7007344943416574e-17,0.12698524361338945
6.04,-1.1133678041586975e-18,5.699161191412812e-19,0.05941006001576338,1.5180284678814573e-17,2.6550934091340064e-19,1.0455436534449917e-18,1.0,5.312637639161357e-18,-1.4969692188056825e-17,0.1295965186562192
6.06,-1.1155560429283456e-18,2.836396728581789e-19,0.062051872482282736,1.331328334636175e-17,-7.503660289163285e-19,2.146954761731577e-18,1.0,-5.343137496019798e-18,-5.422795082782387e-18,0.13292049492365787
6.08,-1.4173850546149754e-18,2.8054061390143053e-19,0.06475044670524496,1.9950337785476904e-17,6.841627282203537e-18,2.255725672777532e-18,1.0,-1.429463696274929e-17,2.4707387435801107e-18,0.13553309541040198
6.1,-1.398549629779312e-18,-6.107747863017294e-20,0.06748311688388674,1.8658696614150016e-17,7.003416701283488e-18,1.7058637625451886e-18,1.0,4.80362333214834e-18,-1.7849244931694627e-17,0.1365148470527211
6.12,-1.1458103689544798e-18,-8.230899281399689e-19,0.07019888000519717,6.742168505750028e-18,2.096774465624953e-18,1.9624788255125077e-18,1.0,1.190445173981431e-17,-3.572688431400305e-17,0.13591548427487052
6.14,-9.317430063317526e-19,-1.3520459430140861e-18,0.07292546643157446,-2.3960063083964256e-19,-1.8369135958251515e-18,1.9107875752542433e-18,1.0,9.04535239707087e-18,-2.1043625681511385e-17,0.13636109845250322
6.16,-1.0215605123446513e-18,-1.4129062601709667e-18,0.07566611844766137,2.89447155271219e-18,1.6505783184873058e-18,8.974253266155483e-19,1.0,-6.7675163186670575e-18,2.861060762993248e-18,0.13705935333206687
6.18,-1.03799506822629e-18,-1.2343685375221128e-18,0.07840108203110653,1.1111145050715129e-17,2.7923629945922848e-18,4.362173849591597e-19,1.0,-1.0699037693198535e-18,9.310803815184377e-18,0.13693626440124396
6.2,-1.0588491771472598e-18,-1.9623225312929536e-18,0.08112511389566818,-5.202684805091538e-18,4.369334721495902e-18,8.407389983255704e-19,1.0,-2.112576176254467e-18,-5.3033105691653906e-17,0.1350957732446922
6.22,-9.399467936516076e-19,-2.341386876306323e-18,0.08379239859207362,-1.3310019022201419e-17,2.5298546894068863e-18,1.86278368786502e-18,1.0,5.661805038772447e-18,6.731661012862248e-18,0.13335471231111368
6.24,-8.582705344589496e-19,-1.7084833417765036e-18,0.08648609814647935,2.560611208034654e-18,1.826540948678577e-18,1.6695049591523331e-18,1.0,3.583667985236866e-18,3.0823019463563404e-17,0.13523764458892723
6.26,-9.305481831505351e-19,-1.8821106146269454e-18,0.08922298875788055,-3.732947558946429e-18,5.240780705157558e-18,1.0701365260455756e-18,1.0,-9.309314255558736e-18,-2.1288611470760047e-17,0.1372482311927686
6.28,-1.0675179040386731e-18,-2.0729987894135214e-18,0.09197938471649603,-1.0095474827205447e-17,1.0808603015364417e-17,8.364225372866893e-19,1.0,-5.805118919829875e-18,-6.8050121218256985e-18,0.13815545631895576
6.3,-8.707652773997986e-19,-1.9014464582947087e-18,0.09472230769115025,-7.984185965588479e-18,8.585505598626996e-18,2.6998556900699677e-19,1.0,6.955280601451874e-18,5.920258046916286e-18,0.13585674029859135
6.32,-7.285168782370817e-19,-1.787396456065369e-18,0.09739888868980474,-8.337865115338537e-18,8.64478058877873e-18,-1.2212233225141128e-19,1.0,6.654790679206389e-18,5.320801027063159e-18,0.13375390044771954
6.34,-5.076566305757835e-19,-1.5931189878576821e-18,0.10009848095795561,-6.9218129549971596e-18,6.865938008877838e-18,5.631681561158541e-19,1.0,3.537400271556416e-18,2.2540756363375463e-18,0.13550667752820492
6.36,-4.1402668236061694e-19,-1.5124817883284573e-18,0.10281310880277843,-8.584496008883429e-18,8.3977696169605e-18,3.563088924800631e-19,1.0,4.460753790678067e-18,3.850461119899805e-18,0.1349647550115851
6.38,-9.174750165972511e-20,-1.208859419319285e-18,0.10545107497859571,-4.2888981998132555e-18,3.681500815284124e-18,1.4640486135575836e-18,1.0,1.3117803322405769e-17,1.2015604034004238e-17,0.1315782182175235
6.4,-1.4794084346284877e-19,-1.281902652783574e-18,0.10808227317121663,-1.0024494286398721e-17,8.890497978113524e-18,1.2934137510453359e-18,1.0,-8.382339751465546e-18,-9.14565085960942e-18,0.1317150892312241
6.42,1.066675578124148e-19,-1.0312315515490819e-18,0.110749453129425,-7.075813357937848e-18,5.558993733065713e-18,1.7935542721344843e-18,1.0,1.5898885897994977e-17,1.54578936763254e-17,0.13399713426125726
6.44,2.997833944629713e-19,-8.369835198491926e-19,0.11346944300007344,-5.98101316793181e-18,3.999606727737978e-18,2.4494998226861346e-18,1.0,3.589769060809534e-18,3.204236592107097e-18,0.1366606809192511
6.46,1.3810294514965572e-19,-9.870692912641148e-19,0.11619349399924886,-1.4069606946119995e-17,1.1685967589910538e-17,1.8137153414699393e-18,1.0,-1.2316618243710016e-17,-1.2197736255231329e-17,0.13505759267730955
6.48,4.791923583014324e-19,-6.271209567159377e-19,0.11885898371369716,-8.987658768254352e-18,6.17284645894151e-18,2.9326096470470347e-18,1.0,1.989861561615052e-17,2.0475121867764126e-17,0.13325684821792194
6.5,3.2147285567790073e-19,-5.150499002945214e-19,0.12150295108480963,-1.1290752337989839e-17,1.4853145908167878e-17,3.079077091027825e-18,1.0,-1.535145101070377e-17,-1.6733141762091183e-18,0.13096736836351874
6.52,1.325511052592006e-18,-1.0394010353490542e-19,0.12409005139527685,-5.290048913538241e-18,-7.997518284268042e-18,4.1256464712914945e-18,1.0,6.013925955676794e-17,1.9355668468961984e-17,0.1294369804977158
6.54,1.4400534057929243e-18,3.695344816175414e-20,0.1266825872569181,-6.174913580421097e-18,-8.309943382792152e-18,4.149426264785517e-18,1.0,-3.1223252338500462e-18,1.7962208797469217e-18,0.1298194875214903
6.5600000000000005,1.3633170708601937e-18,2.0767863849931868e-19,0.12928868594068813,-5.500946732795765e-18,-6.6455358124485724e-18,3.97368703884307e-18,1.0,-2.5510669620969947e-18,7.353912915218652e-18,0.13020021617407007
6.58,1.2633292440722896e-18,4.0154097253639967e-19,0.1319195964043014,-3.8069142909373024e-18,-5.776668020021591e-18,3.657028274772181e-18,1.0,-3.7929402753843314e-18,8.369986221582195e-18,0.13216257695544686
6.6,1.1424373856740378e-18,5.816713899406308e-19,0.13460524820842468,-1.940671142760653e-18,-4.933875208677871e-18,3.634966786059022e-18,1.0,-4.8132905578363816e-18,8.130183471265549e-18,0.13499558197524464
