t,x,y,z,qx,qy,qz,qw,vx,vy,vz
22.88,-2.703204897439896e-06,4.9583819078852555e-08,0.0006165488147868749,3.6970215547669807e-06,-4.912693286750968e-07,-6.550282476855763e-06,0.9999999999715922,-2.63588733211342e-06,1.11762788425494e-05,0.00494146561484026
22.9,-2.7012792758046603e-06,-1.2006397416526126e-07,0.000996513606744704,-1.0303033276675007e-06,-1.0088664508580565e-06,-6.37717202476881e-06,0.9999999999786261,3.056635659035702e-07,-9.962063013263722e-06,0.02423097373624141
22.92,-2.7381429894559965e-06,-3.556443104142265e-08,0.001753522708155212,1.4435912492023665e-06,-4.117440374754286e-07,-6.415333334474672e-06,0.999999999978295,-2.3720322072420455e-06,8.285876516033465e-06,0.041297657231325294
22.94,-2.758097577489228e-06,-3.024628302739192e-08,0.002789308651584648,1.7092725758634989e-06,-2.3617577413214877e-07,-6.468446296321374e-06,0.9999999999775909,-2.1355395891425418e-07,-3.848911804108995e-06,0.05568973443004545
22.96,-2.756096321639278e-06,-1.4243239096099003e-07,0.004142498534933984,-9.09997895592786e-07,-5.543496235341972e-07,-6.360568875866467e-06,0.9999999999792039,-2.5526561862613397e-08,-4.306042099786686e-06,0.07158768076371647
22.98,-2.775801257170421e-06,-1.1536443325790555e-07,0.005762552608236781,7.559241198326682e-08,-2.6003718926054946e-07,-6.395996039202229e-06,0.999999999979509,-1.0424196751825562e-06,2.1895271609029234e-06,0.08393041709580581
23.0,-2.7867933847043344e-06,-1.174742227694491e-07,0.007565699726809805,8.532943869173664e-08,-1.7915319851816382e-07,-6.411262784514415e-06,0.9999999999794281,-3.063810580575397e-07,-1.0699797688269022e-06,0.09112362236192809
23.02,-2.7932919097965915e-06,-1.3330776814423925e-07,0.009453041646607555,-2.7655279259444337e-07,-1.6878885222858996e-07,-6.3914603940049406e-06,0.999999999979522,-3.874246644256935e-07,-1.5072730518246288e-07,0.09604115769975616
23.04,-2.8022917959792284e-06,-1.2036117944088493e-07,0.011497749886920657,7.737188992440112e-08,-5.724278723232333e-08,-6.408845380275468e-06,0.9999999999794587,-3.672285619459998e-07,4.6424667987900284e-07,0.10435035020131447
23.06,-2.805324948623659e-06,-1.290013323524242e-07,0.013666719843308056,-1.687023792449135e-07,-7.230205048642364e-08,-6.401471021261465e-06,0.9999999999794937,-9.292185274757825e-08,-6.203480385189454e-07,0.10880799037583092
23.08,-2.8092701140204446e-06,-1.2687929975490256e-07,0.01587582310025372,-1.3077131185859682e-07,-3.474452526639222e-08,-6.400665635334083e-06,0.9999999999795066,-2.1978683112913232e-07,3.5038621756676334e-07,0.11152727750591221
23.1,-2.8122630704307648e-06,-1.2158593190842624e-07,0.018144925671800448,-3.371362225654709e-08,-4.6151432691822486e-09,-6.405453338215484e-06,0.9999999999794845,-1.0568313591765505e-07,1.1754318151271533e-07,0.11317865729884113
23.12,-2.8134550077414734e-06,-1.219145913577048e-07,0.020426737525502454,-8.313035244401898e-08,-4.690946911714886e-09,-6.402200805565922e-06,0.9999999999795024,-6.120054621290018e-08,8.094013249954531e-09,0.11496020921509476
23.14,-2.814787044902952e-06,-1.1835213877897417e-07,0.022801555904474573,-2.380542644161164e-08,1.1898138417807911e-08,-6.404197906739191e-06,0.9999999999794927,-5.979345315102852e-08,1.7051361778862367e-07,0.12007133290566416
23.16,-2.815065419562002e-06,-1.173062425058164e-07,0.025263893144905968,-2.727761292652838e-08,9.502911143111236e-09,-6.403871681258611e-06,0.9999999999794947,-5.236761494072936e-09,9.932153805029402e-09,0.1235611374385736
23.18,-2.8152304813388226e-06,-1.1620615129442371e-07,0.027759626026335457,-2.0903818450489974e-08,1.0710327492689962e-08,-6.4034877719892874e-06,0.9999999999794974,-1.5347405900989997e-08,7.423212886824791e-08,0.12550809689519657
23.2,-2.8152676887933248e-06,-1.1494624599100306e-07,0.030325168837028297,-5.754468344092432e-09,1.2045905588551741e-08,-6.404094372486177e-06,0.9999999999794936,1.8454597151525396e-09,4.028704398046057e-08,0.12922936192800116
23.22,-2.8149454151710003e-06,-1.1487298928657983e-07,0.03296530170943858,-1.7270950773935483e-08,6.0823237326938175e-09,-6.403387399392048e-06,0.9999999999794982,1.4780216899786867e-08,-2.905628594406615e-09,0.13290774366540184
23.24,-2.8147918703308655e-06,-1.142470362587006e-07,0.03566655480589055,-1.0992685019660101e-08,5.3761074853804835e-09,-6.4033644924389265e-06,0.9999999999794984,3.3075898016532177e-09,3.751793143389741e-08,0.1356828111798822
23.26,-2.8146801188956594e-06,-1.1356448547093836e-07,0.03841728327605319,-1.677860217876245e-09,5.592320151660365e-09,-6.40370180965365e-06,0.9999999999794963,5.468513887384074e-09,2.6472028365503094e-08,0.13814273069004285
23.28,-2.814462319633589e-06,-1.1342960997515498e-07,0.04121406229521038,-4.453397707716268e-09,2.797932726360902e-09,-6.403520766798736e-06,0.9999999999794974,1.0381216729254761e-08,1.6668667196608058e-09,0.14038042211862387
23.3,-2.8143137763997385e-06,-1.1324552650492326e-07,0.04402355055714895,-3.939876808774006e-09,1.4219947663238407e-09,-6.403402686890186e-06,0.9999999999794982,5.3488648108125596e-09,1.1863802685367285e-08,0.13974033985983692
23.32,-2.8142294491165594e-06,-1.1299820300803086e-07,0.04678732151482504,-7.890135357637508e-10,1.0805058608135782e-09,-6.403509499327097e-06,0.9999999999794975,4.037529430761317e-09,9.036880707180087e-09,0.13811965621780553
23.34,-2.8141387958479936e-06,-1.1294558122333433e-07,0.04952359979785827,-1.846544168712929e-09,9.575218602495037e-12,-6.403418725655985e-06,0.9999999999794981,4.1934814393850215e-09,1.5884938594394792e-09,0.13560824387256196
23.36,-2.8141009871310163e-06,-1.128238444100959e-07,0.052202697454326916,-2.810168412288622e-10,-1.2130630283531905e-10,-6.403441971200756e-06,0.999999999979498,1.2568557666181801e-09,6.804801182037768e-09,0.1335777901286292
23.38,-2.8140771837395756e-06,-1.1275961915179075e-07,0.05486303386835387,2.5024416215711796e-10,-2.7617688516364295e-10,-6.403461686966952e-06,0.9999999999794978,1.4106627931328266e-09,1.528179475971153e-09,0.1332295567481316
23.4,-2.8140607540113723e-06,-1.1274229986713656e-07,0.05753164612007792,5.6756634088765063e-11,-4.856304823871548e-10,-6.403429961886693e-06,0.9999999999794981,6.116614710078133e-10,1.3349128071651691e-09,0.13282292139048038
23.42,-2.814062373972839e-06,-1.1271117169710795e-07,0.06017029582419718,5.422830141835107e-10,-3.987964814154919e-10,-6.4034498430579735e-06,0.999999999979498,-1.4225933341046413e-11,1.2939274050514591e-09,0.1321114125422407
23.44,-2.8140639146705046e-06,-1.1271352627004661e-07,0.06284528817782443,3.547392601348703e-10,-4.303987438903753e-10,-6.4034391612355874e-06,0.999999999979498,-4.59722655630718e-12,-1.6137825964422623e-10,0.13437900991854215
23.46,-2.814072637370574e-06,-1.1270981837988559e-07,0.06555575786006171,4.849700405376273e-10,-3.2963513469142674e-10,-6.403442418964605e-06,0.999999999979498,-4.2786686511767506e-10,4.159515780082568e-10,0.13537317127377407
23.48,-2.814081629139247e-06,-1.1271510788141565e-07,0.06823236045238454,4.537747116027105e-10,-2.46532306122435e-10,-6.403446866764e-06,0.999999999979498,-3.0578495359635474e-10,-3.9161607889760797e-10,0.1338038186276258
23.5,-2.814088497796758e-06,-1.1272630379525086e-07,0.07092722789484768,3.2231185003625814e-10,-2.1404216640208039e-10,-6.403441668285689e-06,0.999999999979498,-3.1371671415303077e-10,-3.6474809755991374e-10,0.13514230211902623
23.52,-2.8140965698522655e-06,-1.1273343151595991e-07,0.07366179827973733,3.1076001987624986e-10,-1.346713074078044e-10,-6.403445769378234e-06,0.999999999979498,-3.424059351824438e-10,-3.1337605603679233e-10,0.13724787663019072
23.54,-2.814102323524423e-06,-1.1274420717151107e-07,0.07639251987369036,1.9373269201292965e-10,-9.567034996416796e-11,-6.403444150223888e-06,0.999999999979498,-2.348141882583036e-10,-4.727573969322946e-10,0.13637607981270422
23.56,-2.814107236258391e-06,-1.1275114657851382e-07,0.07909063800311669,1.602305540853124e-10,-5.40944864198791e-11,-6.403444725560427e-06,0.999999999979498,-2.2571110696792143e-10,-2.5907919293849306e-10,0.13354157256659366
23.58,-2.8141108635745264e-06,-1.1275777006715205e-07,0.08172229053461125,1.0745317850286821e-10,-2.40715717311133e-11,-6.403445302712814e-06,0.999999999979498,-1.467059594829246e-10,-3.1305464862390895e-10,0.13156416955826117
23.6,-2.81411308546775e-06,-1.1276315834658609e-07,0.08438286198311142,6.300200064031143e-11,-1.0690016742285656e-11,-6.403444577544404e-06,0.999999999979498,-1.0151438855929243e-10,-2.1168632425391417e-10,0.13363915382245267
23.62,-2.8141148180652567e-06,-1.1276663656918771e-07,0.08709557179168925,4.459827087943073e-11,5.9880992425628004e-12,-6.403445304247755e-06,0.999999999979498,-7.800431614363004e-11,-1.5329368300304476e-10,0.13630015791044198
23.64,-2.814115687524575e-06,-1.1276973255244567e-07,0.08982514171296782,1.5753495198922838e-11,1.2204925928275905e-11,-6.40344520134598e-06,0.999999999979498,-3.6126896604776135e-11,-1.4170190363781403e-10,0.13594872924888174
23.66,-2.814116056403017e-06,-1.1277155958119863e-07,0.09254702101473548,3.917306100907106e-12,1.4550456987649513e-11,-6.403445151931367e-06,0.999999999979498,-1.9400411372422028e-11,-7.199854693136568e-11,0.13634033631542974
23.68,-2.8141161449084356e-06,-1.1277272074652897e-07,0.09529520953945074,-4.261717296553188e-12,1.566357509712782e-11,-6.40344527685012e-06,0.999999999979498,-4.414097571467673e-12,-5.677230583962144e-11,0.13785574519988714
23.7,-2.8141159567174362e-06,-1.1277348080477697e-07,0.09803526365506351,-1.1733196971819246e-11,1.3273310848816783e-11,-6.403445137708992e-06,0.999999999979498,7.941618522591982e-12,-3.317717810230687e-11,0.13575141979003252
