t,x,y,z
133.325000,0.074503,0.020107,0.026626
133.475000,0.074275,0.019955,0.026816
133.615000,0.072512,0.018572,0.028243
133.765000,0.063518,0.013522,0.031596
133.905000,0.032917,0.002391,0.039084
134.055000,-0.018379,-0.012777,0.048313
134.195000,-0.084320,-0.031729,0.056794
134.335000,-0.155877,-0.056879,0.061362
134.485000,-0.212899,-0.087120,0.061669
134.635000,-0.255326,-0.127371,0.058963
134.775000,-0.274352,-0.169064,0.054702
134.935000,-0.272661,-0.217080,0.050441
135.085000,-0.253910,-0.257714,0.050594
135.225000,-0.228865,-0.288634,0.055093
135.365000,-0.206631,-0.311893,0.061958
135.505000,-0.194586,-0.325178,0.070796
135.645000,-0.194070,-0.328790,0.077908
135.795000,-0.202876,-0.323288,0.082029
135.925000,-0.219595,-0.310814,0.082630
136.075000,-0.240127,-0.298271,0.079929
136.205000,-0.262551,-0.288297,0.077686
136.355000,-0.284068,-0.283176,0.078080
136.485000,-0.307856,-0.283510,0.081159
136.625000,-0.331650,-0.290430,0.086122
136.755000,-0.354549,-0.303670,0.091101
136.895000,-0.374050,-0.319890,0.095530
137.025000,-0.392986,-0.340534,0.101722
137.165000,-0.409322,-0.361318,0.109373
137.295000,-0.425490,-0.383722,0.119748
137.445000,-0.438940,-0.404286,0.131268
137.575000,-0.447736,-0.421132,0.142000
137.715000,-0.451730,-0.436933,0.152910
137.855000,-0.449029,-0.450399,0.162702
137.915000,-0.440568,-0.460392,0.170648
138.125000,-0.425024,-0.468052,0.177207
138.255000,-0.403342,-0.472328,0.181326
138.335000,-0.379602,-0.474332,0.184562
138.545000,-0.352108,-0.474480,0.188236
138.675000,-0.323622,-0.472577,0.192153
138.805000,-0.296732,-0.468676,0.195457
138.945000,-0.268114,-0.462757,0.198397
139.075000,-0.244901,-0.457218,0.200930
139.215000,-0.217360,-0.449817,0.203697
139.345000,-0.192238,-0.442447,0.204885
139.495000,-0.169200,-0.435823,0.205060
139.625000,-0.145822,-0.430337,0.205381
139.755000,-0.125540,-0.427489,0.206222
139.895000,-0.104767,-0.426896,0.208108
140.035000,-0.084010,-0.428226,0.211119
140.175000,-0.061873,-0.430793,0.214943
140.315000,-0.039597,-0.433708,0.218955
140.445000,-0.013215,-0.436794,0.223139
140.595000,0.015484,-0.439305,0.226738
