t,x,y,z,qx,qy,qz,qw,vx,vy,vz
35.56,-1.4992869077117963e-09,8.677751458377276e-09,-9.669869839190603e-06,2.177013086899033e-07,1.6785901336943887e-08,-1.4587455044845355e-08,0.999999999999976,0.0013315309735848259,5.498616197207348e-05,-9.768550656482509
35.58,2.551614048243484e-08,-2.2153804011318223e-07,7.79240559151996e-05,-6.4516280137723315e-06,-7.351927906542107e-07,2.5150926232338344e-07,0.9999999999788863,1.678194774418208e-06,-1.4666573215616088e-05,0.007549985503758174
35.6,8.897961068499993e-09,-8.493432708859886e-08,0.0005281909005132382,-3.5498793292571117e-06,-3.593426827420588e-07,2.126802806888274e-07,0.999999999993612,-1.4807726388514408e-06,1.278190240446659e-05,0.027850957923454163
35.62,-6.720185098494832e-09,9.006629622619599e-08,0.00140354984969027,-2.251214548785681e-07,-8.486812627434947e-08,7.167672177591093e-08,0.9999999999999685,-2.8506370587552013e-07,4.755699440206656e-06,0.04896549812051051
35.64,1.746677600254825e-09,2.7045796826407924e-08,0.0026341996541136663,-3.0351990212937446e-06,-4.367050291107537e-07,1.7690706469741017e-07,0.9999999999952828,3.9150862155409985e-07,-3.6950337452934098e-06,0.06480517892928551
35.66,-1.4485975193485589e-08,1.4588578375788841e-07,0.004130756146559632,-7.923984186228143e-07,-1.2328748907844355e-07,1.362726300562147e-07,0.9999999999996692,-1.0268454527854367e-06,8.107871149311e-06,0.07821293309691849
35.68,-2.5710826802575783e-08,2.497734856958861e-07,0.005842199326269483,1.118560989220616e-06,5.7273632943623094e-08,6.27833214452027e-08,0.9999999999993708,-2.6401829602828975e-07,2.9194742704199384e-06,0.0869095096006168
35.7,-2.4383244205189118e-08,2.285775551760845e-07,0.0076700338888967545,1.273754655810948e-07,-4.9249944567255056e-08,1.1021778354605655e-07,0.9999999999999846,-9.107492495995703e-09,-7.735727326048879e-07,0.0933754808825329
35.72,-3.156006122657267e-08,2.695720113080555e-07,0.009626022185941014,1.1226644098251363e-06,1.0450687187253439e-07,8.103674966688647e-08,0.9999999999993611,-4.014226716437117e-07,2.6760072076874315e-06,0.09832060576085516
35.74,-3.0888891490745936e-08,2.59127817858839e-07,0.011645678970940786,9.166163452709812e-07,7.112768415179359e-08,8.02236526523517e-08,0.9999999999995741,1.4971293760924655e-07,-1.3835860018513004e-06,0.10233726632330928
35.76,-3.0219388084720995e-08,2.4058739857258527e-07,0.013799003694934336,6.90463343530384e-07,6.4897284488375e-08,9.211154619281091e-08,0.9999999999997553,-6.793604006101101e-08,-1.4549138795099178e-07,0.10950859500647141
