t,x,y,z,qx,qy,qz,qw,vx,vy,vz
1.06,1.2351648948276409e-21,-5.431222061733719e-22,8.059288765979375e-05,-2.837135530774261e-20,-9.63734014199748e-20,5.274695685142623e-22,1.0,-1.7819535354700443e-20,1.0439743278667703e-20,0.007039239105585335
1.08,4.487830306523943e-22,-2.4219133538006843e-22,0.0004612693070918522,-2.828562803378329e-20,-9.611499221217416e-20,3.1148078313087924e-21,1.0,-4.05040067965334e-20,1.4919914804164995e-20,0.023526944903128066
1.1,-6.932503028848846e-22,1.3346361753516035e-22,0.0011882648700046218,-2.8158503502357366e-20,-9.569418303596563e-20,4.7880331048056e-21,1.0,-5.2743237472809095e-20,1.721699172837109e-20,0.03967851905382069
1.12,-2.049414035505559e-21,5.547633780246612e-22,0.0021989475255848254,-2.805878350179615e-20,-9.53206257778995e-20,7.517917799210587e-21,1.0,-5.968880586513083e-20,1.8519772437602707e-20,0.054536857003177265
1.1400000000000001,-3.56080786463925e-21,1.0123086920448223e-21,0.003533678657817039,-2.79056218873319e-20,-9.478540978067776e-20,8.709813174773921e-21,1.0,-6.376656643919691e-20,1.9316877173975088e-20,0.07074066576664602
1.16,-5.182650611074067e-21,1.4974977431142482e-21,0.0051253693179403835,-2.7652291439722274e-20,-9.396398132936905e-20,6.861322633489423e-21,1.0,-6.673039896230331e-20,1.9985965320857007e-20,0.08136137734267057
1.18,-6.860425389671731e-21,1.9958353427768125e-21,0.006861723500629292,-2.7421576758771706e-20,-9.320198324751306e-20,5.775909779921233e-21,1.0,-6.783387039384063e-20,2.0159739104091425e-20,0.08907642628677333
1.2,-8.563481372406504e-21,2.4986655577972037e-21,0.00874369755123066,-2.7336919505171645e-20,-9.283516455951981e-20,9.205468471586864e-21,1.0,-6.764424708153948e-20,1.995499443500709e-20,0.09476023701761385
1.22,-1.0289839828845123e-20,3.0075453797713814e-21,0.010699318552127465,-2.7230770267627353e-20,-9.241112125252577e-20,1.2000111857027805e-20,1.0,-6.849740391543936e-20,2.0205467942655785e-20,0.09935247123485855
1.24,-1.2055156968317428e-20,3.528702220237073e-21,0.012772032945833917,-2.6939363453124117e-20,-9.14704881674438e-20,9.02130357334485e-21,1.0,-6.911627075415965e-20,2.0406763716854455e-20,0.1051191566308115
1.26,-1.3831609115137563e-20,4.0525005856412195e-21,0.014979515580097556,-2.6698892047868053e-20,-9.066907884712103e-20,7.599984745226666e-21,1.0,-6.858102953842966e-20,2.022284951797471e-20,0.11215258598850572
1.28,-1.6189253399353514e-20,-9.423863878037761e-21,0.017280240344298207,-4.157800816993828e-19,-7.395271436581387e-20,1.0721570891729773e-20,1.0,-1.2770330917505112e-19,-1.4247558471648035e-18,0.11502925105925307
1.3,-1.9186285959461646e-20,-3.814772386376651e-20,0.019609655697568663,-1.2808291738440384e-18,-3.7273253535405354e-20,1.391767265713084e-20,1.0,-1.36795098542113e-19,-1.629192204459986e-18,0.11735587616840056
1.32,-2.1874435456403905e-20,-5.923371190979772e-20,0.021981049870231518,-2.1447731436075237e-18,-3.5213882787172834e-22,1.3473624230890271e-20,1.0,-1.2699385664138847e-19,-1.3936301521080542e-18,0.11911786504963731
1.34,-2.3963733880658357e-20,-6.590383513047275e-20,0.024402770499504654,-2.930238919509531e-18,3.3451148692969144e-20,1.0452437118890296e-20,1.0,-9.87078882490076e-20,-7.097832947112566e-19,0.12157870894840132
