t,x,y,z,qx,qy,qz,qw
635.64,-6.084974010788792e-07,-3.005616296015638e-07,0.0003288030883845973,-3.419931516326714e-06,-1.617404019409655e-06,-1.580230788473951e-06,0.9999999999915955
635.66,-6.604344889389415e-07,-1.3472594377664363e-07,0.0007593802188823086,9.170265104299267e-07,-7.141952011911043e-07,-1.7861773974348724e-06,0.9999999999977293
635.68,-6.575767855238067e-07,-2.86284102175744e-07,0.001564650928138473,-3.478651418202764e-06,-1.2903736860829705e-06,-1.643839501377212e-06,0.9999999999917658
635.7,-6.904970589918877e-07,-2.216349521067612e-07,0.0026527668616734487,-2.174432831310571e-06,-8.792245426866918e-07,-1.654973815037718e-06,0.99999999999588
635.72,-7.249972857756046e-07,-1.1817914300401953e-07,0.004005198258547726,-2.0870970782536234e-07,-4.340027612114902e-07,-1.7431912032076368e-06,0.9999999999983646
635.74,-7.382049389451985e-07,-1.27574515470211e-07,0.005509454480264856,-1.1216999020631193e-06,-4.7494761783893297e-07,-1.692441591414052e-06,0.9999999999978259
635.76,-7.599758001211962e-07,-6.949843028116006e-08,0.007234521008129595,-7.054877675614977e-08,-2.0542461955323949e-07,-1.7196295905420869e-06,0.9999999999984978
635.78,-7.736308131084709e-07,-3.857975237343507e-08,0.009183277794481824,3.714525842628078e-07,-8.304992880536852e-08,-1.7411913449618115e-06,0.9999999999984116
635.8,-7.779719879898669e-07,-5.465602321673081e-08,0.01131643278043773,-2.45143826121216e-07,-1.3423326019080587e-07,-1.7159905558148765e-06,0.9999999999984887
635.82,-7.861416470931147e-07,-3.9155356931628526e-08,0.013562488144922724,7.345860472424532e-08,-3.3507244675814245e-08,-1.7251806133321567e-06,0.9999999999985086
635.84,-7.898789082655624e-07,-3.556774718925367e-08,0.015931169580747678,9.657669144354996e-08,-1.785148109301538e-08,-1.7296057829123635e-06,0.9999999999984994
635.86,-7.909314266662686e-07,-4.460702764516673e-08,0.01838674328694051,-1.7185796503931382e-07,-4.356102619685468e-08,-1.7179423743819836e-06,0.9999999999985086
635.88,-7.938783830920779e-07,-3.843701145196007e-08,0.020851473987132673,-3.369472396300649e-08,-2.3451042283975205e-09,-1.7229454674349494e-06,0.9999999999985151
635.9,-7.94747136926546e-07,-3.795868888465444e-08,0.023368577142244655,-5.899918168927223e-08,-5.219534186082162e-09,-1.7219640520572637e-06,0.9999999999985156
635.92,-7.956883327362226e-07,-3.661506622756629e-08,0.02591276531425049,-5.3428703011945616e-08,4.6692171994266225e-09,-1.720743366384487e-06,0.9999999999985181
635.94,-7.963326938329119e-07,-3.3653882321047106e-08,0.028391269494119614,-3.886326518610011e-09,1.3118699202506627e-08,-1.7228005913266735e-06,0.9999999999985159
635.96,-7.962504423036178e-07,-3.344628591704123e-08,0.03083272040403023,-2.0528488624086878e-08,7.996967261811415e-09,-1.7215006841652484e-06,0.999999999998518
