t,x,y,z,mode
0.0,0.231633,0.175548,-0.200968,GPS
0.1,0.138497,0.012189,-0.236325,GPS
0.2,-0.016723,-0.199541,-0.136423,GPS
0.3,-0.085047,0.302656,-0.062678,GPS
0.4,-0.121929,0.371411,-0.012653,GPS
0.5,-0.08532,0.536978,-0.123746,GPS
0.6,0.107565,0.458711,-0.096575,GPS
0.7,0.235491,0.201448,0.280047,GPS
0.8,0.172325,0.178331,0.501612,GPS
0.9,0.007725,0.391868,0.528277,GPS
1.0,0.127983,0.472782,0.506217,GPS
1.1,0.048415,0.403641,0.602532,GPS
1.2,-0.044237,0.173028,0.911141,GPS
1.3,-0.08476,-0.011167,1.103969,GPS
1.4,0.094093,0.00475,1.063131,GPS
1.5,0.046121,-0.231923,0.852341,GPS
1.6,0.035609,-0.232413,0.691414,GPS
1.7,0.021988,-0.153773,0.513436,GPS
1.8,-0.060866,-0.054873,0.438045,GPS
1.9,-0.046432,-0.090854,0.149398,GPS
2.0,-0.065568,-0.008301,-0.133937,GPS
2.1,-0.067004,-0.170788,-0.315617,GPS
2.2,-0.216123,-0.353564,-0.091597,GPS
2.3,-0.302236,-0.399885,0.016774,GPS
2.4,-0.328479,-0.683084,0.210694,GPS
2.5,-0.180579,-0.681966,0.478027,GPS
2.6,-0.009354,-0.630556,0.568709,GPS
2.7,-0.032533,-0.59882,0.483587,GPS
2.8,0.034941,-0.689987,0.273422,GPS
2.9,0.132918,-0.65604,0.244115,GPS
2.9,0.071776,-0.643014,0.429105,IMU
2.91,0.071777,-0.643013,0.430552,IMU
2.92,0.071775,-0.643012,0.431995,IMU
2.93,0.071769,-0.643007,0.433436,IMU
2.94,0.071763,-0.643,0.434855,IMU
2.95,0.071759,-0.642993,0.436248,IMU
2.96,0.071756,-0.642987,0.437628,IMU
2.97,0.071754,-0.642985,0.439005,IMU
2.98,0.071753,-0.642992,0.440384,IMU
2.99,0.071751,-0.643007,0.441772,IMU
3.0,0.071747,-0.643024,0.443159,IMU
3.01,0.071743,-0.643038,0.444532,IMU
3.02,0.07174,-0.643054,0.445899,IMU
3.03,0.071737,-0.643068,0.447264,IMU
3.04,0.071731,-0.643082,0.448628,IMU
3.05,0.071727,-0.643101,0.449993,IMU
3.06,0.071723,-0.643123,0.451343,IMU
3.07,0.071721,-0.64314,0.452673,IMU
3.08,0.07172,-0.643153,0.453993,IMU
3.09,0.071717,-0.64317,0.45531,IMU
3.1,0.071714,-0.643193,0.456627,IMU
3.11,0.071715,-0.643221,0.45795,IMU
3.12,0.071716,-0.64325,0.459269,IMU
3.13,0.07172,-0.643284,0.460573,IMU
3.14,0.071727,-0.643327,0.461863,IMU
3.15,0.071732,-0.643377,0.463146,IMU
3.16,0.071735,-0.643429,0.464428,IMU
3.17,0.071739,-0.643479,0.465707,IMU
3.18,0.071743,-0.643533,0.466985,IMU
3.19,0.071751,-0.643593,0.468266,IMU
3.2,0.071757,-0.643659,0.469553,IMU
3.21,0.071758,-0.64373,0.470848,IMU
3.22,0.071764,-0.643808,0.472145,IMU
3.23,0.071778,-0.643891,0.473442,IMU
3.24,0.071793,-0.64398,0.474743,IMU
3.25,0.071806,-0.644071,0.476048,IMU
3.26,0.071809,-0.644159,0.477355,IMU
3.27,0.071805,-0.644248,0.478658,IMU
3.28,0.071798,-0.64434,0.479954,IMU
3.29,0.071789,-0.644432,0.481243,IMU
3.3,0.071784,-0.644528,0.482519,IMU
3.31,0.071782,-0.64463,0.483786,IMU
3.32,0.071781,-0.644738,0.485054,IMU
3.33,0.071782,-0.64485,0.48631,IMU
3.34,0.071787,-0.64496,0.487554,IMU
3.35,0.071786,-0.645071,0.488793,IMU
3.36,0.071776,-0.645184,0.490023,IMU
3.37,0.071762,-0.645297,0.491247,IMU
3.38,0.071746,-0.645413,0.492473,IMU
3.39,0.071728,-0.645534,0.493699,IMU
3.4,0.071706,-0.645661,0.494923,IMU
3.41,0.071684,-0.645794,0.496152,IMU
3.42,0.071667,-0.645929,0.497392,IMU
3.43,0.071652,-0.646065,0.498641,IMU
3.44,0.071635,-0.646204,0.499901,IMU
3.45,0.071613,-0.64634,0.501171,IMU
3.46,0.071583,-0.646473,0.502442,IMU
3.47,0.071549,-0.646606,0.503716,IMU
3.48,0.071519,-0.646736,0.504994,IMU
3.49,0.07149,-0.646868,0.506273,IMU
3.5,0.071453,-0.647005,0.507552,IMU
3.51,0.071416,-0.647144,0.508833,IMU
3.52,0.071383,-0.647282,0.510119,IMU
3.53,0.071353,-0.647422,0.511406,IMU
3.54,0.071327,-0.647561,0.512688,IMU
3.55,0.071306,-0.647701,0.513964,IMU
3.56,0.071289,-0.647847,0.515237,IMU
3.57,0.071267,-0.648001,0.516505,IMU
3.58,0.071237,-0.648162,0.517767,IMU
3.59,0.071206,-0.648331,0.519023,IMU
3.6,0.071176,-0.648504,0.520274,IMU
3.61,0.071144,-0.648676,0.521523,IMU
3.62,0.07111,-0.648848,0.522759,IMU
3.63,0.071074,-0.649021,0.523974,IMU
3.64,0.071038,-0.649196,0.525182,IMU
3.65,0.071003,-0.649373,0.526383,IMU
3.66,0.070965,-0.649551,0.527579,IMU
3.67,0.070923,-0.649729,0.528779,IMU
3.68,0.070876,-0.649905,0.529981,IMU
3.69,0.070823,-0.650079,0.531181,IMU
3.7,0.070763,-0.650258,0.532383,IMU
3.71,0.070696,-0.65044,0.533586,IMU
3.72,0.070625,-0.650625,0.534788,IMU
3.73,0.070548,-0.650814,0.535986,IMU
3.74,0.070467,-0.651002,0.537176,IMU
3.75,0.070377,-0.651189,0.538364,IMU
3.76,0.070277,-0.651374,0.539556,IMU
3.77,0.070172,-0.651554,0.540754,IMU
3.78,0.070059,-0.651729,0.541956,IMU
3.79,0.06994,-0.6519,0.543169,IMU
3.8,0.069817,-0.652071,0.544388,IMU
3.81,0.069695,-0.652244,0.545603,IMU
3.82,0.069582,-0.652423,0.546818,IMU
3.83,0.069469,-0.652608,0.548033,IMU
3.84,0.069345,-0.652788,0.549243,IMU
3.85,0.069212,-0.652962,0.55045,IMU
3.86,0.069075,-0.653135,0.551661,IMU
3.87,0.068935,-0.653306,0.552876,IMU
3.88,0.068794,-0.653478,0.554091,IMU
3.89,0.06865,-0.653655,0.555306,IMU
3.9,0.068497,-0.65384,0.556523,IMU
3.91,0.068341,-0.654031,0.557743,IMU
3.92,0.06818,-0.654223,0.558967,IMU
3.93,0.068011,-0.654415,0.560188,IMU
3.94,0.067839,-0.654608,0.561401,IMU
3.95,0.067658,-0.654801,0.562614,IMU
3.96,0.067474,-0.654993,0.563832,IMU
