t,x,y,z,mode
0.0,0.276712,0.446814,0.890466,GPS
0.1,-0.355908,-0.727522,-1.639773,GPS
0.2,0.200327,0.439342,-0.04076,GPS
0.3,0.60355,-0.938914,-0.091632,GPS
0.4,-0.72468,0.78028,0.983997,GPS
0.5,-0.440419,0.830679,0.189286,GPS
0.6,-0.911026,1.785195,1.56982,GPS
0.7,-2.086274,0.352863,1.314665,GPS
0.8,-0.46636,-0.345864,1.843733,GPS
0.9,-0.326685,0.969005,0.920237,GPS
1.0,-0.382935,1.166546,0.386051,GPS
1.1,-0.107473,-0.835366,0.313964,GPS
1.2,-1.135424,0.591436,2.474135,GPS
1.3,-0.674685,-0.777922,0.590738,GPS
1.4,-0.620575,1.860743,0.590793,GPS
1.5,-1.284139,0.658088,1.160096,GPS
1.6,-0.743277,0.528114,1.001383,GPS
1.7,-0.80445,-0.583751,2.45263,GPS
1.8,-0.090418,0.747139,1.761107,GPS
1.9,-0.401872,2.000146,1.691847,GPS
2.0,0.486189,1.504243,2.172672,GPS
2.1,-0.772048,0.275917,1.505504,GPS
2.2,-0.942292,-0.623549,1.506963,GPS
2.3,0.293193,-1.981223,0.491698,GPS
2.4,0.968137,1.223891,1.330914,GPS
2.5,-0.804531,2.320796,0.886263,GPS
2.6,0.258033,0.958925,2.771532,GPS
2.7,-1.008693,0.94194,1.477746,GPS
2.8,-0.983564,1.599079,2.080164,GPS
2.9,-0.440348,-1.607302,-1.393173,GPS
3.0,-0.236762,-0.575489,0.490715,GPS
3.0,-0.440348,-1.607302,-1.39316,IMU
3.01,-0.440347,-1.607296,-1.39184,IMU
3.02,-0.440365,-1.607292,-1.390514,IMU
3.03,-0.440405,-1.607298,-1.389181,IMU
3.04,-0.44044,-1.607304,-1.387853,IMU
3.05,-0.440481,-1.607302,-1.386519,IMU
3.06,-0.440516,-1.6073,-1.385192,IMU
3.07,-0.440532,-1.60731,-1.383869,IMU
3.08,-0.440546,-1.607322,-1.382525,IMU
3.09,-0.440546,-1.607352,-1.381188,IMU
3.1,-0.440535,-1.607414,-1.379884,IMU
3.11,-0.440509,-1.607478,-1.378581,IMU
3.12,-0.440465,-1.607539,-1.37727,IMU
3.13,-0.440416,-1.60761,-1.375963,IMU
3.14,-0.440379,-1.607682,-1.37466,IMU
3.15,-0.440352,-1.607763,-1.373369,IMU
3.16,-0.440349,-1.607856,-1.372081,IMU
3.17,-0.44038,-1.607963,-1.370806,IMU
