t,x,y,z,mode
0.0,-0.392745,-1.373438,-0.981814,GPS
0.1,0.175828,0.431003,0.110072,GPS
0.2,-0.625492,-1.640974,2.280582,GPS
0.3,0.301079,1.326772,-1.430294,GPS
0.4,0.541328,1.25664,0.022699,GPS
0.5,0.580736,0.323597,-0.60074,GPS
0.6,0.30138,-0.030392,-0.17654,GPS
0.7,0.134673,0.599314,-0.148423,GPS
0.8,-0.287166,1.309423,-1.464294,GPS
0.9,0.066519,0.207849,0.797195,GPS
1.0,0.009113,0.390551,-1.744726,GPS
1.1,0.635391,1.212102,0.783286,GPS
1.2,-1.29547,2.075214,2.103265,GPS
1.3,-0.247443,0.851911,0.334318,GPS
1.4,-1.039295,-0.195453,0.352177,GPS
1.5,0.229704,0.994273,0.327278,GPS
1.6,0.313786,0.363647,-1.111367,GPS
1.7,-1.388602,1.480322,-0.216548,GPS
1.8,-0.507852,1.918426,-0.629555,GPS
1.9,0.042975,-1.101282,0.961567,GPS
2.0,-0.36503,1.268475,-1.082522,GPS
2.1,0.591715,0.920065,2.328471,GPS
2.2,-0.93481,1.507959,-0.089167,GPS
2.3,-0.383281,-0.019791,0.729461,GPS
2.4,0.049549,0.746597,2.218975,GPS
2.5,-0.013552,-0.349998,-2.802052,GPS
2.6,0.073759,2.371012,0.569427,GPS
2.7,-1.151171,1.568598,0.612046,GPS
2.8,0.766589,-0.781429,0.452428,GPS
2.9,0.101766,1.119253,0.657762,GPS
3.0,-1.242628,1.268444,0.13312,GPS
3.1,0.817915,1.122576,-0.33841,GPS
3.2,0.184023,0.47323,1.265752,GPS
3.3,0.015669,0.14666,0.822116,GPS
3.4,-0.113663,-0.732392,0.144794,GPS
3.5,0.450167,-1.456398,-0.630817,GPS
3.6,0.214114,1.091047,1.331754,GPS
3.7,-0.288784,1.027973,1.183265,GPS
3.8,1.030885,-0.687968,0.493963,GPS
3.9,0.03752,0.191881,0.396319,GPS
4.0,-0.298124,0.259587,-0.455366,GPS
4.1,0.350404,0.941468,-1.232301,GPS
4.2,-0.6213,-0.649061,0.073765,GPS
4.3,0.789416,1.328465,2.298009,GPS
4.4,-0.010186,1.340162,-0.293396,GPS
4.5,-0.235402,0.2168,-0.042308,GPS
4.6,-0.565309,0.850033,2.775078,GPS
4.7,0.418847,0.207279,0.63168,GPS
4.8,-0.019949,-0.925019,0.418435,GPS
4.9,0.705077,2.132556,1.052836,GPS
4.9,-0.019949,-0.925019,0.418435,IMU
4.91,-0.019943,-0.925042,0.418449,IMU
4.92,-0.019938,-0.925093,0.418458,IMU
4.93,-0.019938,-0.925146,0.418454,IMU
4.94,-0.019917,-0.925204,0.418458,IMU
4.95,-0.019872,-0.925272,0.418473,IMU
4.96,-0.019814,-0.925333,0.418496,IMU
4.97,-0.019745,-0.925356,0.418521,IMU
4.98,-0.019668,-0.925348,0.418541,IMU
4.99,-0.019586,-0.92534,0.418569,IMU
5.0,-0.019512,-0.925324,0.418608,IMU
5.01,-0.019447,-0.925291,0.418643,IMU
5.02,-0.01939,-0.925235,0.418677,IMU
5.03,-0.019332,-0.925173,0.418711,IMU
5.04,-0.019261,-0.925119,0.418736,IMU
5.05,-0.019185,-0.925066,0.418767,IMU
5.06,-0.0191,-0.925003,0.418791,IMU
5.07,-0.019,-0.924924,0.418799,IMU
5.08,-0.018876,-0.924852,0.418787,IMU
5.09,-0.018723,-0.924795,0.418761,IMU
5.1,-0.018553,-0.924726,0.418744,IMU
5.11,-0.018383,-0.924651,0.418713,IMU
5.12,-0.01821,-0.92458,0.418678,IMU
5.13,-0.018026,-0.924523,0.41865,IMU
5.14,-0.017838,-0.924478,0.418623,IMU
5.15,-0.017651,-0.92444,0.418602,IMU
5.16,-0.017467,-0.92441,0.418588,IMU
5.17,-0.017282,-0.924387,0.418584,IMU
5.18,-0.017097,-0.924369,0.418602,IMU
5.19,-0.016898,-0.924348,0.418631,IMU
5.2,-0.01668,-0.924325,0.418661,IMU
5.21,-0.016454,-0.924321,0.418694,IMU
5.22,-0.016217,-0.924317,0.418729,IMU
5.23,-0.01599,-0.924294,0.418767,IMU
5.24,-0.015791,-0.924257,0.418804,IMU
5.25,-0.015618,-0.924205,0.418836,IMU
5.26,-0.015449,-0.924147,0.418853,IMU
5.27,-0.015264,-0.924082,0.418847,IMU
5.28,-0.015066,-0.923998,0.418835,IMU
5.29,-0.014843,-0.923914,0.41883,IMU
5.3,-0.014611,-0.923842,0.418828,IMU
5.31,-0.01439,-0.923769,0.41882,IMU
5.32,-0.014175,-0.923704,0.418807,IMU
5.33,-0.01397,-0.923654,0.418784,IMU
5.34,-0.013783,-0.923623,0.418746,IMU
5.35,-0.01361,-0.923599,0.418697,IMU
5.36,-0.013438,-0.923565,0.418638,IMU
5.37,-0.01326,-0.923531,0.418575,IMU
5.38,-0.013081,-0.923487,0.418531,IMU
5.39,-0.012899,-0.923425,0.418488,IMU
5.4,-0.012707,-0.923361,0.418434,IMU
5.41,-0.012506,-0.923303,0.418377,IMU
5.42,-0.012312,-0.923246,0.418327,IMU
5.43,-0.012128,-0.923187,0.418291,IMU
5.44,-0.01195,-0.923137,0.418263,IMU
5.45,-0.011777,-0.923113,0.418234,IMU
5.46,-0.011608,-0.923105,0.418206,IMU
5.47,-0.011455,-0.923102,0.418172,IMU
5.48,-0.0113,-0.923098,0.418122,IMU
5.49,-0.011146,-0.923095,0.418069,IMU
5.5,-0.01101,-0.923097,0.418007,IMU
5.51,-0.010879,-0.923105,0.417938,IMU
5.52,-0.010753,-0.923124,0.417857,IMU
5.53,-0.010633,-0.92315,0.417765,IMU
5.54,-0.010497,-0.923178,0.417666,IMU
5.55,-0.010351,-0.923197,0.417576,IMU
5.56,-0.010211,-0.923208,0.417512,IMU
5.57,-0.010078,-0.923217,0.41745,IMU
5.58,-0.009941,-0.923238,0.417369,IMU
5.59,-0.009781,-0.923276,0.417264,IMU
5.6,-0.009608,-0.923322,0.417127,IMU
5.61,-0.009444,-0.923366,0.41698,IMU
5.62,-0.00928,-0.92342,0.416844,IMU
5.63,-0.009087,-0.923485,0.416712,IMU
5.64,-0.008871,-0.923551,0.416568,IMU
5.65,-0.008645,-0.92361,0.416414,IMU
5.66,-0.008403,-0.923665,0.416262,IMU
5.67,-0.008168,-0.923732,0.416131,IMU
5.68,-0.007943,-0.923817,0.416011,IMU
5.69,-0.007719,-0.923924,0.415885,IMU
5.7,-0.007501,-0.924034,0.415756,IMU
5.71,-0.007272,-0.924124,0.415616,IMU
5.72,-0.007025,-0.924198,0.415471,IMU
5.73,-0.006761,-0.924267,0.415314,IMU
5.74,-0.006487,-0.924328,0.415144,IMU
5.75,-0.006211,-0.924396,0.41496,IMU
5.76,-0.005923,-0.924479,0.414769,IMU
5.77,-0.005619,-0.924564,0.414583,IMU
5.78,-0.005307,-0.92466,0.414387,IMU
5.79,-0.004988,-0.924773,0.414183,IMU
5.8,-0.004651,-0.924896,0.413981,IMU
5.81,-0.004305,-0.925021,0.413783,IMU
5.82,-0.003964,-0.925129,0.413595,IMU
5.83,-0.003629,-0.925229,0.413415,IMU
5.84,-0.003301,-0.925335,0.41324,IMU
5.85,-0.002964,-0.925443,0.413063,IMU
5.86,-0.00263,-0.925561,0.412866,IMU
5.87,-0.002307,-0.925673,0.412666,IMU
5.88,-0.001978,-0.92577,0.412473,IMU
5.89,-0.001644,-0.925884,0.41227,IMU
5.9,-0.001321,-0.926024,0.412059,IMU
5.91,-0.001017,-0.926153,0.411844,IMU
5.92,-0.00073,-0.926255,0.411653,IMU
5.93,-0.000462,-0.926339,0.411498,IMU
5.94,-0.000202,-0.926412,0.411347,IMU
5.95,7.5e-05,-0.926481,0.411204,IMU
5.96,0.000361,-0.926551,0.411088,IMU
5.97,0.000648,-0.926616,0.410993,IMU
5.98,0.000938,-0.926685,0.410902,IMU
5.99,0.001232,-0.926766,0.410801,IMU
6.0,0.001515,-0.926841,0.410712,IMU
6.01,0.001802,-0.926902,0.410655,IMU
6.02,0.002107,-0.926966,0.410609,IMU
6.03,0.002423,-0.927051,0.410558,IMU
6.04,0.002763,-0.927153,0.410524,IMU
6.05,0.003128,-0.927261,0.410513,IMU
6.06,0.003506,-0.927366,0.410484,IMU
6.07,0.003889,-0.927467,0.410432,IMU
6.08,0.004264,-0.927573,0.410364,IMU
6.09,0.004626,-0.927697,0.410289,IMU
6.1,0.004997,-0.927817,0.410208,IMU
6.11,0.00537,-0.927916,0.410147,IMU
6.12,0.005744,-0.928024,0.410112,IMU
6.13,0.006126,-0.928147,0.410081,IMU
