t,x,y,z,mode
0.0,-1.220206,0.379716,-0.506212,GPS
0.1,0.776605,0.725477,1.32294,GPS
0.2,-0.003578,-1.173695,-9.4e-05,GPS
0.3,-0.040671,-0.136144,-1.213593,GPS
0.4,0.48785,0.204646,0.475447,GPS
0.5,-0.058375,-1.783157,-1.875474,GPS
0.6,-0.089482,-0.272359,-1.253481,GPS
0.7,-0.161924,-1.985258,0.356303,GPS
0.8,-0.313019,-0.645229,-1.024695,GPS
0.9,0.372044,-0.878155,0.070234,GPS
1.0,-1.337886,-0.257871,1.205236,GPS
1.1,-0.214298,-0.572371,-1.291165,GPS
1.2,-0.682191,0.295518,-0.268118,GPS
1.3,0.475141,0.474211,-1.571555,GPS
1.4,1.035419,-0.207803,0.415134,GPS
1.5,-0.426513,-0.65723,0.449845,GPS
1.6,-0.334388,0.464797,-2.231903,GPS
1.7,-0.49882,0.173614,0.584336,GPS
1.8,0.374236,-0.660574,0.423919,GPS
1.9,-0.734842,1.126335,0.580825,GPS
2.0,0.309963,-0.404081,0.143909,GPS
2.1,-0.755297,0.273543,-0.95186,GPS
2.2,0.373023,-0.494736,-0.150862,GPS
2.3,-0.167304,-0.123256,-2.043885,GPS
2.4,-0.117343,1.389022,-1.591056,GPS
2.5,-0.298023,0.672508,-0.626483,GPS
2.6,0.653282,-0.14093,0.199492,GPS
2.7,0.273077,0.251672,-0.293379,GPS
2.8,-0.247701,-0.319315,-0.637221,GPS
2.9,0.616916,-2.677346,0.909246,GPS
3.0,-0.791176,-1.031604,-0.698426,GPS
3.0,0.616916,-2.677346,0.90926,IMU
3.01,0.616917,-2.677354,0.910658,IMU
3.02,0.61691,-2.677352,0.912066,IMU
3.03,0.616897,-2.677335,0.913484,IMU
3.04,0.616885,-2.677318,0.914883,IMU
3.05,0.616886,-2.677289,0.916269,IMU
3.06,0.616907,-2.677235,0.917665,IMU
3.07,0.616938,-2.677161,0.919067,IMU
3.08,0.616975,-2.677089,0.920482,IMU
3.09,0.617015,-2.677021,0.921904,IMU
3.1,0.617056,-2.676948,0.923324,IMU
3.11,0.617106,-2.676869,0.924759,IMU
3.12,0.617181,-2.676798,0.926195,IMU
3.13,0.617267,-2.676752,0.927621,IMU
3.14,0.617336,-2.676712,0.929051,IMU
3.15,0.617389,-2.67666,0.930487,IMU
3.16,0.617431,-2.676597,0.931915,IMU
3.17,0.617473,-2.676528,0.933337,IMU
3.18,0.617521,-2.676456,0.934758,IMU
3.19,0.617582,-2.676381,0.936186,IMU
3.2,0.617651,-2.676325,0.937614,IMU
3.21,0.617725,-2.676297,0.939028,IMU
3.22,0.617818,-2.676289,0.940444,IMU
3.23,0.617939,-2.676276,0.941855,IMU
3.24,0.618078,-2.676248,0.943246,IMU
3.25,0.618202,-2.676214,0.944638,IMU
3.26,0.618318,-2.67617,0.94603,IMU
3.27,0.618442,-2.676096,0.94742,IMU
3.28,0.618565,-2.675995,0.948828,IMU
3.29,0.61869,-2.675892,0.950244,IMU
3.3,0.618828,-2.675783,0.951647,IMU
3.31,0.618983,-2.67567,0.953038,IMU
3.32,0.619145,-2.675576,0.954424,IMU
3.33,0.619303,-2.675498,0.955812,IMU
3.34,0.619465,-2.675407,0.957203,IMU
3.35,0.619629,-2.675303,0.958592,IMU
3.36,0.619793,-2.675204,0.959985,IMU
3.37,0.61997,-2.675112,0.961383,IMU
3.38,0.620164,-2.675021,0.962777,IMU
3.39,0.620372,-2.674924,0.964196,IMU
3.4,0.620597,-2.674813,0.965639,IMU
3.41,0.620815,-2.674695,0.96708,IMU
3.42,0.621022,-2.67458,0.968522,IMU
3.43,0.621223,-2.674464,0.969955,IMU
3.44,0.621425,-2.674337,0.971379,IMU
3.45,0.621643,-2.674186,0.972799,IMU
3.46,0.621863,-2.67402,0.974216,IMU
3.47,0.622075,-2.673849,0.975632,IMU
3.48,0.622299,-2.67368,0.977039,IMU
3.49,0.622541,-2.673511,0.978434,IMU
3.5,0.622791,-2.673337,0.979819,IMU
3.51,0.623068,-2.673157,0.98118,IMU
3.52,0.623361,-2.672967,0.982512,IMU
3.53,0.623658,-2.672774,0.983835,IMU
3.54,0.623953,-2.672585,0.985152,IMU
3.55,0.624238,-2.672406,0.986451,IMU
3.56,0.624511,-2.672232,0.987722,IMU
3.57,0.624774,-2.672054,0.988987,IMU
3.58,0.625031,-2.671882,0.990262,IMU
3.59,0.625302,-2.671719,0.991535,IMU
3.6,0.625574,-2.671557,0.992798,IMU
3.61,0.625857,-2.671401,0.994043,IMU
3.62,0.626154,-2.671236,0.995278,IMU
3.63,0.626433,-2.671054,0.996524,IMU
3.64,0.626714,-2.670868,0.997781,IMU
3.65,0.626998,-2.670689,0.999051,IMU
3.66,0.627275,-2.670526,1.000337,IMU
3.67,0.627558,-2.670365,1.001622,IMU
3.68,0.627857,-2.670197,1.002895,IMU
3.69,0.62818,-2.670041,1.00416,IMU
3.7,0.628537,-2.669906,1.005435,IMU
3.71,0.628912,-2.669787,1.006709,IMU
3.72,0.629277,-2.669686,1.007969,IMU
3.73,0.629626,-2.669584,1.009218,IMU
3.74,0.629964,-2.66948,1.010483,IMU
3.75,0.630304,-2.669383,1.011783,IMU
3.76,0.630659,-2.669291,1.013087,IMU
3.77,0.63102,-2.669197,1.014376,IMU
3.78,0.631373,-2.669088,1.015672,IMU
3.79,0.631714,-2.668967,1.016967,IMU
3.8,0.632053,-2.66883,1.018252,IMU
3.81,0.632405,-2.668681,1.019544,IMU
3.82,0.632778,-2.668527,1.020842,IMU
3.83,0.63316,-2.668363,1.022146,IMU
3.84,0.633546,-2.668188,1.023445,IMU
3.85,0.633943,-2.668004,1.024723,IMU
3.86,0.634345,-2.667807,1.025956,IMU
3.87,0.634756,-2.667607,1.027151,IMU
3.88,0.635178,-2.667419,1.028331,IMU
3.89,0.635618,-2.667227,1.029515,IMU
3.9,0.636083,-2.667002,1.030708,IMU
3.91,0.636564,-2.666765,1.031902,IMU
3.92,0.637041,-2.666526,1.033105,IMU
3.93,0.637504,-2.666298,1.034309,IMU
3.94,0.637957,-2.666086,1.035508,IMU
3.95,0.638412,-2.665847,1.036709,IMU
3.96,0.638874,-2.66559,1.037917,IMU
3.97,0.639346,-2.665336,1.039137,IMU
3.98,0.639823,-2.665074,1.040369,IMU
3.99,0.64029,-2.664811,1.041621,IMU
4.0,0.640748,-2.664565,1.042894,IMU
4.01,0.64122,-2.664331,1.044171,IMU
4.02,0.641723,-2.664107,1.045437,IMU
4.03,0.642245,-2.66388,1.04671,IMU
4.04,0.642775,-2.663646,1.048002,IMU
4.05,0.643324,-2.663419,1.0493,IMU
4.06,0.643893,-2.663203,1.050601,IMU
4.07,0.644457,-2.662995,1.051893,IMU
4.08,0.645015,-2.662791,1.053172,IMU
4.09,0.645578,-2.662591,1.054454,IMU
4.1,0.64614,-2.662391,1.055749,IMU
4.11,0.646694,-2.662169,1.057042,IMU
4.12,0.647247,-2.661928,1.058321,IMU
4.13,0.647816,-2.661686,1.059592,IMU
4.14,0.648386,-2.661452,1.060868,IMU
4.15,0.648941,-2.661223,1.062155,IMU
4.16,0.649502,-2.661,1.063447,IMU
4.17,0.650086,-2.660785,1.064744,IMU
4.18,0.650707,-2.660576,1.066048,IMU
4.19,0.651339,-2.660368,1.067362,IMU
4.2,0.651961,-2.660138,1.068681,IMU
4.21,0.652587,-2.659899,1.070011,IMU
4.22,0.65322,-2.659647,1.071361,IMU
4.23,0.65386,-2.659378,1.072728,IMU
4.24,0.654507,-2.659111,1.074098,IMU
4.25,0.655151,-2.658838,1.075486,IMU
4.26,0.655782,-2.658544,1.076897,IMU
4.27,0.65643,-2.658242,1.078311,IMU
4.28,0.657091,-2.657951,1.079733,IMU
4.29,0.657738,-2.657679,1.081153,IMU
4.3,0.658384,-2.657409,1.082558,IMU
4.31,0.659031,-2.657138,1.083974,IMU
4.32,0.659677,-2.656864,1.085394,IMU
4.33,0.660322,-2.656586,1.086813,IMU
4.34,0.660977,-2.656327,1.088233,IMU
4.35,0.661642,-2.656086,1.08965,IMU
4.36,0.662303,-2.655828,1.091068,IMU
4.37,0.662961,-2.655547,1.09249,IMU
4.38,0.663626,-2.655257,1.093914,IMU
4.39,0.66431,-2.654968,1.095334,IMU
4.4,0.664997,-2.654675,1.096747,IMU
4.41,0.665678,-2.654388,1.09817,IMU
4.42,0.666337,-2.654107,1.099626,IMU
