t,x,y,z,mode
0.0,-0.126748,-0.40903,-0.19182,GPS
0.1,-0.115363,-0.417713,-0.18658,GPS
0.2,-0.100949,-0.424356,-0.159387,GPS
0.3,-0.085487,-0.444453,-0.177816,GPS
0.4,-0.08219,-0.511564,-0.148128,GPS
0.5,-0.102619,-0.599849,-0.081708,GPS
0.6,-0.124571,-0.677759,0.003035,GPS
0.7,-0.152465,-0.748574,0.069896,GPS
0.8,-0.179505,-0.80044,0.066685,GPS
0.9,-0.208107,-0.845966,0.040873,GPS
1.0,-0.221043,-0.91188,0.003749,GPS
1.1,-0.241126,-0.990787,-0.039452,GPS
1.2,-0.241709,-1.079446,-0.077741,GPS
1.3,-0.233895,-1.07829,-0.060707,GPS
1.4,-0.198777,-1.114823,-0.070831,GPS
1.5,-0.167235,-1.138092,-0.048135,GPS
1.6,-0.154475,-1.152218,-0.042783,GPS
1.7,-0.122119,-1.131644,-0.058408,GPS
1.8,-0.103226,-1.150225,-0.055747,GPS
1.9,-0.09312,-1.249256,-0.056692,GPS
2.0,-0.100854,-1.370653,-0.041216,GPS
2.1,-0.122788,-1.385443,0.009979,GPS
2.2,-0.198899,-1.369998,0.050714,GPS
2.3,-0.241324,-1.350025,0.086133,GPS
2.4,-0.265852,-1.336498,0.108393,GPS
2.5,-0.281266,-1.353003,0.107285,GPS
2.6,-0.318574,-1.294636,0.074355,GPS
2.7,-0.35346,-1.251977,0.065415,GPS
2.8,-0.372678,-1.301266,0.033695,GPS
2.9,-0.398943,-1.362652,0.050329,GPS
2.9,-0.372303,-1.301746,0.383473,FLOW
2.92,-0.37176,-1.302044,0.391148,FLOW
2.94,-0.371853,-1.301496,0.405567,FLOW
2.96,-0.371773,-1.30205,0.413828,FLOW
2.98,-0.37277,-1.302326,0.403574,FLOW
3.0,-0.372175,-1.304752,0.408544,FLOW
3.02,-0.37215,-1.305036,0.423127,FLOW
3.04,-0.372366,-1.305582,0.413189,FLOW
3.06,-0.373226,-1.305293,0.428788,FLOW
3.08,-0.374081,-1.305273,0.418015,FLOW
3.1,-0.373612,-1.304898,0.437015,FLOW
3.12,-0.373759,-1.305424,0.424205,FLOW
3.14,-0.374168,-1.3057,0.429007,FLOW
3.16,-0.369896,-1.302431,0.436652,FLOW
3.18,-0.370762,-1.304806,0.439773,FLOW
3.2,-0.370888,-1.305304,0.43192,FLOW
3.22,-0.372017,-1.305927,0.434084,FLOW
3.24,-0.372913,-1.303465,0.436052,FLOW
3.26,-0.374303,-1.303758,0.443749,FLOW
3.28,-0.374617,-1.304799,0.45304,FLOW
3.3,-0.37487,-1.306309,0.455981,FLOW
3.32,-0.372458,-1.307397,0.4658,FLOW
3.34,-0.373745,-1.308317,0.462439,FLOW
3.36,-0.374073,-1.30896,0.468062,FLOW
3.38,-0.373396,-1.309551,0.463798,FLOW
3.4,-0.372986,-1.309499,0.458698,FLOW
3.42,-0.372974,-1.310992,0.467658,FLOW
3.44,-0.373642,-1.311939,0.466033,FLOW
3.46,-0.373134,-1.309986,0.471465,FLOW
3.48,-0.372536,-1.310479,0.480774,FLOW
3.5,-0.372684,-1.311045,0.47794,FLOW
3.52,-0.372698,-1.312006,0.485656,FLOW
3.54,-0.374735,-1.31213,0.49137,FLOW
3.56,-0.373407,-1.311485,0.491364,FLOW
3.58,-0.373552,-1.312501,0.494874,FLOW
3.6,-0.373664,-1.31409,0.505233,FLOW
3.62,-0.372485,-1.309187,0.499239,FLOW
3.64,-0.37343,-1.309945,0.504343,FLOW
3.66,-0.373279,-1.311642,0.513069,FLOW
3.68,-0.374046,-1.311931,0.504213,FLOW
3.7,-0.498092,-1.337225,0.510457,FLOW
3.72,-0.499968,-1.338344,0.524022,FLOW
3.74,-0.500292,-1.339034,0.511821,FLOW
3.76,-0.501384,-1.339815,0.527398,FLOW
3.78,-0.496885,-1.339488,0.518113,FLOW
3.8,-0.497333,-1.341276,0.525075,FLOW
3.82,-0.497966,-1.342294,0.530987,FLOW
3.84,-0.496558,-1.342946,0.529963,FLOW
3.86,-0.497437,-1.342491,0.535093,FLOW
3.88,-0.497539,-1.343611,0.536409,FLOW
3.9,-0.497974,-1.345077,0.53379,FLOW
3.92,-0.50121,-1.344556,0.537079,FLOW
3.94,-0.499646,-1.347767,0.548117,FLOW
3.96,-0.499413,-1.34937,0.549634,FLOW
3.98,-0.498442,-1.349238,0.54687,FLOW
4.0,-0.501703,-1.349088,0.55178,FLOW
4.02,-0.500198,-1.347428,0.557614,FLOW
4.04,-0.500133,-1.349196,0.551945,FLOW
4.06,-0.499479,-1.352367,0.560312,FLOW
4.08,-0.495024,-1.343239,0.565948,FLOW
